index,zone,type,type,name,usage(KB),total(KB)
1,mp_escape_factory,  string,string,,2.7,2.7
2,mp_escape_factory,  xmodel,xmodel,cs_cargoship_wall_light_red_on,20.2,20.6
3,mp_escape_factory,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
4,mp_escape_factory,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
5,mp_escape_factory,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
6,mp_escape_factory,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
7,mp_escape_factory,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
8,mp_escape_factory,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
9,mp_escape_factory,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
10,mp_escape_factory,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
11,mp_escape_factory,  xmodel,xmodel,ch_industrial_lamp_on,33.2,34.3
12,mp_escape_factory,  xmodel,xmodel,com_wooden_pallet,15.7,16.0
13,mp_escape_factory,  xmodel,xmodel,com_barrel_black_rust,43.1,43.4
14,mp_escape_factory,  xmodel,xmodel,com_barrel_tan,12.9,13.2
15,mp_escape_factory,  xmodel,xmodel,com_barrel_corrosive_rust,45.2,45.5
16,mp_escape_factory,  xmodel,xmodel,ch_crate32x48,59.8,60.0
17,mp_escape_factory,  xmodel,xmodel,ch_crate48x64,62.3,62.3
18,mp_escape_factory,  xmodel,xmodel,com_pallet,41.5,41.7
19,mp_escape_factory,  xmodel,xmodel,com_pallet_stack,228.9,228.9
20,mp_escape_factory,  xmodel,xmodel,4gf_logo_petx,424.4,424.8
21,mp_escape_factory,  xmodel,xmodel,4gf_logo,513.7,513.7
22,mp_escape_factory,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
23,mp_escape_factory,  xmodel,xmodel,com_steel_ladder,41.6,41.9
24,mp_escape_factory,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
25,mp_escape_factory,  xmodel,xmodel,ch_bunker_doorway_02,42.0,42.3
26,mp_escape_factory,  xmodel,xmodel,com_barrel_biohazard_rust,13.6,13.9
27,mp_escape_factory,  xmodel,xmodel,com_pallet_2,45.5,45.5
28,mp_escape_factory,  xmodel,xmodel,com_barrel_green_rust,12.9,13.1
29,mp_escape_factory,  xmodel,xmodel,ch_crate24x24,59.3,59.3
30,mp_escape_factory,  xmodel,xmodel,ch_crate24x36,59.3,59.3
31,mp_escape_factory,  xmodel,xmodel,ch_crate64x64,33.0,33.0
32,mp_escape_factory,  xmodel,xmodel,com_pallet_destroyed,44.9,44.9
33,mp_escape_factory,  xmodel,xmodel,ch_icbm_console_table1,8.1,8.4
34,mp_escape_factory,  xmodel,xmodel,mil_bunker_bed_mattress,7.3,7.5
35,mp_escape_factory,  techset,techset,sm2/mc_l_sm_t0c0n0s0,35.4,35.4
36,mp_escape_factory,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
37,mp_escape_factory,  techset,techset,mc_l_sm_t0c0n0s0,58.2,58.2
38,mp_escape_factory,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
39,mp_escape_factory,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
40,mp_escape_factory,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
41,mp_escape_factory,  xmodel,xmodel,mil_bunker_bed1,20.5,20.7
42,mp_escape_factory,  xmodel,xmodel,mil_bunker_bed2,47.0,47.0
43,mp_escape_factory,  xmodel,xmodel,mil_bunker_bed3,111.7,111.7
44,mp_escape_factory,  xmodel,xmodel,ch_icbm_console,76.0,76.6
45,mp_escape_factory,  xmodel,xmodel,aftermath_power_stationthing3,64.5,64.9
46,mp_escape_factory,  xmodel,xmodel,com_lightbox_on,75.4,75.7
47,mp_escape_factory,  xmodel,xmodel,ch_bunker_door_left,84.8,85.0
48,mp_escape_factory,  xmodel,xmodel,ch_bunker_door_right,63.1,63.1
49,mp_escape_factory,  xmodel,xmodel,com_electrical_transformer,38.6,38.9
50,mp_escape_factory,  xmodel,xmodel,icbm_electronic_cabinet8,117.1,117.4
51,mp_escape_factory,  xmodel,xmodel,icbm_electronic_cabinet6,89.3,89.3
52,mp_escape_factory,  xmodel,xmodel,icbm_electronic_cabinet5,145.3,145.3
53,mp_escape_factory,  xmodel,xmodel,icbm_electronic_cabinet1,3.5,3.5
54,mp_escape_factory,  xmodel,xmodel,icbm_mainframe,35.9,36.3
55,mp_escape_factory,  xmodel,xmodel,icbm_electricpanel1,8.6,8.9
56,mp_escape_factory,  xmodel,xmodel,com_folding_table,67.3,67.7
57,mp_escape_factory,  xmodel,xmodel,com_folding_chair,56.1,56.4
58,mp_escape_factory,  xmodel,xmodel,com_copypaper_box,3.5,3.8
59,mp_escape_factory,  xmodel,xmodel,com_clipboard_wpaper,21.3,21.6
60,mp_escape_factory,  xmodel,xmodel,tv_video_mixing_board,53.4,53.7
61,mp_escape_factory,  xmodel,xmodel,escape_body_raam,293.9,294.1
62,mp_escape_factory,  xmodel,xmodel,escape_body_beserker,325.3,325.5
63,mp_escape_factory,  xmodel,xmodel,escape_body_goblin,82.3,82.5
64,mp_escape_factory,  xmodel,xmodel,com_coffee_machine,58.8,59.0
65,mp_escape_factory,  xmodel,xmodel,escape_body_skulls,224.7,224.9
66,mp_escape_factory,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.3
