index,type,type,name,usage(KB),total(KB)
1,  string,string,,4.0,4.0
2,  rawfile,rawfile,ccfgs/mainabout.cfg,2.3,2.3
3,  rawfile,rawfile,animtrees/multiplayer.atr,17.3,17.3
4,  rawfile,rawfile,mp/playeranim.script,32.5,32.5
5,    menu,menu,team_marinesopfor,88.7,88.8
6,    menu,menu,popup_classteam,7.3,7.4
7,    menu,menu,popup_quit,6.7,6.7
8,  menufile,menufile,ui_mp/scriptmenus/team_marinesopfor.menu,0.1,102.9
9,    menu,menu,scoreboard,15.1,15.5
10,  menufile,menufile,ui_mp/scriptmenus/scoreboard.menu,0.0,15.6
11,    menu,menu,class_marines,140.1,140.1
12,  menufile,menufile,ui_mp/scriptmenus/class_marines.menu,0.0,140.1
13,    menu,menu,class_opfor,107.5,107.5
14,  menufile,menufile,ui_mp/scriptmenus/class_opfor.menu,0.0,107.6
15,    menu,menu,shop,172.2,172.3
16,  menufile,menufile,ui_mp/scriptmenus/shop.menu,0.0,172.3
17,    menu,menu,voting,26.6,26.6
18,  menufile,menufile,ui_mp/scriptmenus/voting.menu,0.0,26.6
19,    menu,menu,acp,55.7,55.7
20,  menufile,menufile,ui_mp/scriptmenus/acp.menu,0.0,55.8
21,    menu,menu,compass_old,6.4,6.7
22,    menu,menu,xpbar,33.5,33.6
23,    menu,menu,scorebar,2.6,2.6
24,    menu,menu,scorebars,7.1,7.1
25,    menu,menu,fullscreenmap,4.5,4.5
26,    menu,menu,low health,1.0,1.1
27,  menufile,menufile,ui_mp/hud.menu,0.1,62.5
28,    menu,menu,main_text,17.9,18.0
29,    menu,menu,join_game_popup,6.3,6.3
30,    menu,menu,single_popmenu,6.7,6.7
31,  menufile,menufile,ui_mp/main.menu,0.0,31.4
32,    menu,menu,controls_multi,53.8,53.8
33,  menufile,menufile,ui_mp/controls_multi.menu,0.0,53.8
34,  rawfile,rawfile,shock/radiation_zeroy.shock,2.0,2.0
35,  rawfile,rawfile,shock/flashbang.shock,2.0,2.0
36,  techset,techset,sm2/mc_l_sm_b0c0n0s0,32.1,32.1
37,  techset,techset,sm2/mc_l_sm_b0c0,22.8,22.8
38,  techset,techset,sm2/mc_l_hsm_b0c0,15.1,15.1
39,  techset,techset,sm2/mc_l_hsm_b0c0n0,17.7,17.7
40,  techset,techset,mc_l_sm_b0c0n0s0,55.7,55.7
41,  techset,techset,mc_l_sm_b0c0,35.4,35.4
42,  techset,techset,mc_l_sm_b0c0s0,40.2,40.2
43,  techset,techset,mc_l_sm_b0c0n0,35.1,35.1
44,  techset,techset,mc_l_hsm_b0c0,18.0,18.0
45,  techset,techset,mc_l_hsm_b0c0s0,20.0,20.0
46,  techset,techset,mc_l_hsm_b0c0n0,20.4,20.4
47,  techset,techset,mc_l_hsm_b0c0n0s0,22.0,22.0
48,  techset,techset,sm2/wc_l_sm_b0c0n0s0,14.0,14.0
49,  techset,techset,sm2/wc_l_sm_b0c0,10.1,10.1
50,  techset,techset,sm2/wc_l_hsm_b0c0,7.0,7.0
51,  techset,techset,sm2/wc_l_hsm_b0c0n0,8.5,8.5
52,  techset,techset,wc_l_sm_b0c0n0s0,26.6,26.6
53,  techset,techset,wc_l_sm_b0c0,16.1,16.1
54,  techset,techset,wc_l_sm_b0c0s0,19.3,19.3
55,  techset,techset,wc_l_sm_b0c0n0,16.9,16.9
56,  techset,techset,wc_l_hsm_b0c0,8.4,8.4
57,  techset,techset,wc_l_hsm_b0c0s0,9.8,9.8
58,  techset,techset,wc_l_hsm_b0c0n0,9.9,9.9
59,  techset,techset,wc_l_hsm_b0c0n0s0,11.0,11.0
60,  fx,fx,impacts/flesh_hit_splat,0.6,1.9
61,  techset,techset,sm2/effect_zfeather,1.7,1.7
62,  techset,techset,effect_zfeather,1.6,1.6
63,  fx,fx,impacts/blood_large,2.4,2.6
64,  fx,fx,misc/m_resp,2.7,3.1
65,  techset,techset,sm2/effect_zfeather_add_nofog,1.5,1.5
66,  techset,techset,sm2/effect_add_nofog,1.0,1.0
67,  techset,techset,effect_zfeather_add_nofog,1.4,1.4
68,  fx,fx,misc/m_resp_big,5.2,5.4
69,  techset,techset,sm2/effect_zfeather_falloff_add_nofog,1.5,1.5
70,  techset,techset,sm2/effect_falloff_add_nofog,1.2,1.2
71,  techset,techset,effect_zfeather_falloff_add_nofog,1.4,1.4
72,  techset,techset,effect_falloff_add_nofog,1.1,1.1
73,  fx,fx,misc/flashlight,2.1,2.6
74,  fx,fx,explosions/aa_explosion,7.0,7.5
75,  fx,fx,explosions/nuke_base_child,10.4,10.6
76,  fx,fx,explosions/nuke_cap_up_child,5.2,5.3
77,  fx,fx,misc/vlna,1.1,1.2
78,  fx,fx,explosions/nuke,46.9,47.2
79,  fx,fx,dev/laser,1.6,1.6
80,  techset,techset,sm2/mc_l_sm_r0c0s0,16.4,16.4
81,  techset,techset,sm2/mc_l_hsm_r0c0,9.2,9.2
82,  techset,techset,mc_l_sm_r0c0s0,33.3,33.3
83,  techset,techset,mc_l_sm_r0c0,18.4,18.4
84,  techset,techset,mc_l_hsm_r0c0,11.8,11.8
85,  techset,techset,mc_l_hsm_r0c0s0,14.4,14.4
86,  xmodel,xmodel,4gf_laser_emitor,70.7,71.2
87,  techset,techset,sm2/mc_l_sm_r0c0n0s0,15.5,15.5
88,  techset,techset,sm2/mc_l_hsm_r0c0n0,10.8,10.8
89,  techset,techset,mc_l_sm_r0c0n0s0,33.2,33.2
90,  techset,techset,mc_l_sm_r0c0n0,21.1,21.1
91,  techset,techset,mc_l_hsm_r0c0n0,13.1,13.1
92,  techset,techset,mc_l_hsm_r0c0n0s0,15.5,15.5
93,  xmodel,xmodel,bathroom_soap,6.7,7.0
94,  xmodel,xmodel,viewmodel_ballistic_knife_w_parabolic,44.4,45.0
95,  xmodel,xmodel,weapon_ballistic_knife,71.3,71.3
96,  xmodel,xmodel,viewmodel_ballistic_blade,33.1,33.1
97,  xanim,xanim,viewmodel_b_knife_fire,4.3,4.3
98,  xanim,xanim,viewmodel_b_knife_first_raise,7.9,7.9
99,  xanim,xanim,viewmodel_b_knife_idle,1.5,1.5
100,  xanim,xanim,viewmodel_b_knife_melee_swipe,4.4,4.4
101,  xanim,xanim,viewmodel_b_knife_melee_stick,6.2,6.2
102,  xanim,xanim,viewmodel_b_knife_pullout,8.6,8.6
103,  xanim,xanim,viewmodel_b_knife_pullout_quick,3.9,3.9
104,  xanim,xanim,viewmodel_b_knife_putaway,4.7,4.7
105,  xanim,xanim,viewmodel_b_knife_putaway_quick,3.3,3.3
106,  xanim,xanim,viewmodel_b_knife_reload,11.6,11.6
107,  xanim,xanim,viewmodel_b_knife_sprint_in,3.2,3.2
108,  xanim,xanim,viewmodel_b_knife_sprint_loop,4.2,4.2
109,  xanim,xanim,viewmodel_b_knife_sprint_out,3.2,3.2
110,  xmodel,xmodel,playermodel_gta_iv_nico,563.2,564.6
111,  xmodel,xmodel,body_mp_sas_urban_support,452.4,453.7
112,  xmodel,xmodel,escape_body_ada,280.5,281.8
113,  xmodel,xmodel,viewhands_black_kit,143.7,144.2
