index,zone,type,type,name,usage(KB),total(KB)
1,mp_area51,  string,string,,3.1,3.1
2,mp_area51,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,mp_area51,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,mp_area51,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,mp_area51,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,mp_area51,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,mp_area51,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,mp_area51,  xmodel,xmodel,bc_cot,35.9,36.1
9,mp_area51,  xmodel,xmodel,com_electrical_transformer,38.6,38.9
10,mp_area51,  xmodel,xmodel,me_window_bars_02,23.2,23.5
11,mp_area51,  xmodel,xmodel,mil_razorwire_mid,213.3,213.5
12,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet1,3.5,3.8
13,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet2,51.5,51.8
14,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet3,121.1,121.4
15,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet4,112.5,112.5
16,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet5,145.5,145.5
17,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet6,89.1,89.1
18,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet7,133.6,133.6
19,mp_area51,  xmodel,xmodel,icbm_electronic_cabinet8,117.1,117.1
20,mp_area51,  xmodel,xmodel,bc_hesco_barrier_big,16.1,16.7
21,mp_area51,  xanim,xanim,saw_gunner_idle,6.0,6.0
22,mp_area51,  techset,techset,sm2/wc_l_sm_t0c0n0s0,16.0,16.0
23,mp_area51,  techset,techset,sm2/wc_l_sm_t0c0,11.7,11.7
24,mp_area51,  techset,techset,sm2/wc_l_hsm_t0c0,8.3,8.3
25,mp_area51,  techset,techset,sm2/wc_l_hsm_t0c0n0,8.4,8.4
26,mp_area51,  techset,techset,wc_l_sm_t0c0n0s0,28.0,28.0
27,mp_area51,  techset,techset,wc_l_sm_t0c0,18.9,18.9
28,mp_area51,  techset,techset,wc_l_sm_t0c0s0,18.7,18.7
29,mp_area51,  techset,techset,wc_l_sm_t0c0n0,16.9,16.9
30,mp_area51,  techset,techset,wc_l_hsm_t0c0,9.7,9.7
31,mp_area51,  techset,techset,wc_l_hsm_t0c0s0,9.5,9.5
32,mp_area51,  techset,techset,wc_l_hsm_t0c0n0,9.9,9.9
33,mp_area51,  techset,techset,wc_l_hsm_t0c0n0s0,10.7,10.7
34,mp_area51,  techset,techset,sm2/wc_l_sm_r0c0n0s0,12.9,12.9
35,mp_area51,  techset,techset,sm2/wc_l_sm_r0c0,7.7,7.7
36,mp_area51,  techset,techset,sm2/wc_l_hsm_r0c0,5.6,5.6
37,mp_area51,  techset,techset,sm2/wc_l_hsm_r0c0n0,6.7,6.7
38,mp_area51,  techset,techset,wc_l_sm_r0c0n0s0,22.7,22.7
39,mp_area51,  techset,techset,wc_l_sm_r0c0,12.6,12.6
40,mp_area51,  techset,techset,wc_l_sm_r0c0s0,14.0,14.0
41,mp_area51,  techset,techset,wc_l_sm_r0c0n0,11.4,11.4
42,mp_area51,  techset,techset,wc_l_hsm_r0c0,6.8,6.8
43,mp_area51,  techset,techset,wc_l_hsm_r0c0s0,7.4,7.4
44,mp_area51,  techset,techset,wc_l_hsm_r0c0n0,7.8,7.8
45,mp_area51,  techset,techset,wc_l_hsm_r0c0n0s0,8.2,8.2
46,mp_area51,  gfx_map,gfx_map,maps/mp/mp_area51.d3dbsp,1732.5,1736.1
47,mp_area51,    map_ents,map_ents,maps/mp/mp_area51.d3dbsp,8.4,8.4
48,mp_area51,  col_map_sp,col_map_sp,maps/mp/mp_area51.d3dbsp,642.8,651.2
49,mp_area51,  impactfx,impactfx,,1.5,1.5
50,mp_area51,  sound,sound,artillery_explosion,1.2,1.2
51,mp_area51,  sound,sound,elm_metal_rattle,1.2,1.2
52,mp_area51,  sound,sound,mortar_incoming,1.6,1.6
53,mp_area51,  sound,sound,generic_death_arab_4,1.1,1.1
54,mp_area51,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
55,mp_area51,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
56,mp_area51,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
57,mp_area51,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
58,mp_area51,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
