index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.6,2.6
2,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
4,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
5,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
6,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
7,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
8,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
9,  xmodel,xmodel,mil_bunker_bed3,111.7,112.1
10,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
11,  xmodel,xmodel,atl_base00,750.5,751.5
12,  xmodel,xmodel,atl_souradnice,7.1,7.3
13,  xmodel,xmodel,sgc_base,37.3,38.3
14,  xmodel,xmodel,com_office_chair_black,189.8,190.1
15,  xmodel,xmodel,com_widescreen_monitor_on_1,26.3,26.7
16,  xmodel,xmodel,com_office_book_shelf,15.8,16.1
17,  xmodel,xmodel,jumper222,318.7,319.6
18,  techset,techset,sm2/mc_unlit_replace,1.8,1.8
19,  techset,techset,mc_unlit_replace,1.6,1.6
20,  xmodel,xmodel,com_laptop_open,35.6,36.0
21,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,19.2,19.2
22,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
23,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
24,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
25,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
26,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
27,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
28,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
29,  techset,techset,wc_l_sm_r0c0d0n0s0,32.2,32.2
30,  techset,techset,wc_l_sm_r0c0,18.3,18.3
31,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
32,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
33,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
34,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
35,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
36,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
37,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
38,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
39,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
40,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
41,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
42,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
43,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
44,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
45,  techset,techset,sm2/wc_water,3.0,3.0
46,  techset,techset,wc_water,2.9,2.9
47,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.1,9.1
48,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
