index,zone,type,type,name,usage(KB),total(KB)
1,mp_atlantis,  string,string,,2.6,2.6
2,mp_atlantis,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,mp_atlantis,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
4,mp_atlantis,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
5,mp_atlantis,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
6,mp_atlantis,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
7,mp_atlantis,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
8,mp_atlantis,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
9,mp_atlantis,  xmodel,xmodel,mil_bunker_bed3,111.7,112.1
10,mp_atlantis,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
11,mp_atlantis,  xmodel,xmodel,atl_base00,750.5,751.5
12,mp_atlantis,  xmodel,xmodel,atl_souradnice,7.1,7.3
13,mp_atlantis,  xmodel,xmodel,sgc_base,37.3,38.3
14,mp_atlantis,  xmodel,xmodel,com_office_chair_black,189.8,190.1
15,mp_atlantis,  xmodel,xmodel,com_widescreen_monitor_on_1,26.3,26.7
16,mp_atlantis,  xmodel,xmodel,com_office_book_shelf,15.8,16.1
17,mp_atlantis,  xmodel,xmodel,jumper222,318.7,319.6
18,mp_atlantis,  techset,techset,sm2/mc_unlit_replace,1.8,1.8
19,mp_atlantis,  techset,techset,mc_unlit_replace,1.6,1.6
20,mp_atlantis,  xmodel,xmodel,com_laptop_open,35.6,36.0
21,mp_atlantis,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,19.2,19.2
22,mp_atlantis,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
23,mp_atlantis,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
24,mp_atlantis,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
25,mp_atlantis,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
26,mp_atlantis,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
27,mp_atlantis,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
28,mp_atlantis,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
