index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,4gf_pillar,6.3,6.5
2,  techset,techset,sm2/mc_l_sm_scroll_b0c0,18.2,18.2
3,  techset,techset,sm2/mc_l_hsm_scroll_b0c0,9.1,9.1
4,  techset,techset,mc_l_sm_scroll_b0c0,25.3,25.3
5,  techset,techset,mc_l_hsm_scroll_b0c0,10.5,10.5
6,  xmodel,xmodel,4gf_pillar2,6.4,6.5
7,  xmodel,xmodel,z_torch_static_green,37.5,37.6
8,  xmodel,xmodel,4gf_alter,10.0,10.2
9,  techset,techset,sm2/mc_l_sm_b0c0d0n0s0,30.3,30.3
10,  techset,techset,sm2/mc_l_sm_b0c0d0,24.7,24.7
11,  techset,techset,sm2/mc_l_hsm_b0c0d0,16.3,16.3
12,  techset,techset,sm2/mc_l_hsm_b0c0d0n0,18.9,18.9
13,  techset,techset,mc_l_sm_b0c0d0n0s0,55.4,55.4
14,  techset,techset,mc_l_sm_b0c0d0,38.4,38.4
15,  techset,techset,mc_l_sm_b0c0d0s0,42.9,42.9
16,  techset,techset,mc_l_sm_b0c0d0n0,37.6,37.6
17,  techset,techset,mc_l_hsm_b0c0d0,19.2,19.2
18,  techset,techset,mc_l_hsm_b0c0d0s0,21.1,21.1
19,  techset,techset,mc_l_hsm_b0c0d0n0,21.6,21.6
20,  techset,techset,mc_l_hsm_b0c0d0n0s0,23.1,23.1
21,  xmodel,xmodel,4gf_evase,1474.6,1475.3
22,  techset,techset,sm2/mc_ambient_t0c0,15.3,15.3
23,  techset,techset,mc_ambient_t0c0,15.1,15.1
24,  xmodel,xmodel,foliage_dead_pine_xl,208.1,208.5
25,  xmodel,xmodel,jeepride_shrubgroup_01,5.0,5.1
26,  xmodel,xmodel,foliage_bush_big_brown,33.5,33.7
27,  techset,techset,sm2/mc_l_sm_t0c0n0s0,17.4,17.4
28,  techset,techset,sm2/mc_l_hsm_t0c0n0,11.4,11.4
29,  techset,techset,mc_l_sm_t0c0n0s0,36.2,36.2
30,  techset,techset,mc_l_sm_t0c0n0,22.5,22.5
31,  techset,techset,mc_l_hsm_t0c0n0,13.8,13.8
32,  techset,techset,mc_l_hsm_t0c0n0s0,16.2,16.2
33,  xmodel,xmodel,foliage_ivy_bottom01,12.1,12.3
34,  xmodel,xmodel,z_agrippa_cut,125.2,125.3
35,  xmodel,xmodel,z_corpse1,699.9,700.0
36,  xmodel,xmodel,z_human_bone,267.1,267.2
37,  xmodel,xmodel,z_human_skull,67.2,67.3
38,  xmodel,xmodel,z_agrippa,478.1,478.3
39,  xmodel,xmodel,z_corpse_male,274.5,274.6
40,  xmodel,xmodel,z_ritual_prisoner,301.3,301.4
