index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_amazing,  xmodel,xmodel,4gf_pillar,6.3,6.5
2,mp_deathrun_amazing,  techset,techset,sm2/mc_l_sm_scroll_b0c0,18.2,18.2
3,mp_deathrun_amazing,  techset,techset,sm2/mc_l_hsm_scroll_b0c0,9.1,9.1
4,mp_deathrun_amazing,  techset,techset,mc_l_sm_scroll_b0c0,25.3,25.3
5,mp_deathrun_amazing,  techset,techset,mc_l_hsm_scroll_b0c0,10.5,10.5
6,mp_deathrun_amazing,  xmodel,xmodel,4gf_pillar2,6.4,6.5
7,mp_deathrun_amazing,  xmodel,xmodel,z_torch_static_green,37.5,37.6
8,mp_deathrun_amazing,  xmodel,xmodel,4gf_alter,10.0,10.2
9,mp_deathrun_amazing,  techset,techset,sm2/mc_l_sm_b0c0d0n0s0,30.3,30.3
10,mp_deathrun_amazing,  techset,techset,sm2/mc_l_sm_b0c0d0,24.7,24.7
11,mp_deathrun_amazing,  techset,techset,sm2/mc_l_hsm_b0c0d0,16.3,16.3
12,mp_deathrun_amazing,  techset,techset,sm2/mc_l_hsm_b0c0d0n0,18.9,18.9
13,mp_deathrun_amazing,  techset,techset,mc_l_sm_b0c0d0n0s0,55.4,55.4
14,mp_deathrun_amazing,  techset,techset,mc_l_sm_b0c0d0,38.4,38.4
15,mp_deathrun_amazing,  techset,techset,mc_l_sm_b0c0d0s0,42.9,42.9
16,mp_deathrun_amazing,  techset,techset,mc_l_sm_b0c0d0n0,37.6,37.6
17,mp_deathrun_amazing,  techset,techset,mc_l_hsm_b0c0d0,19.2,19.2
18,mp_deathrun_amazing,  techset,techset,mc_l_hsm_b0c0d0s0,21.1,21.1
19,mp_deathrun_amazing,  techset,techset,mc_l_hsm_b0c0d0n0,21.6,21.6
20,mp_deathrun_amazing,  techset,techset,mc_l_hsm_b0c0d0n0s0,23.1,23.1
21,mp_deathrun_amazing,  xmodel,xmodel,4gf_evase,1474.6,1475.3
22,mp_deathrun_amazing,  techset,techset,sm2/mc_ambient_t0c0,15.3,15.3
23,mp_deathrun_amazing,  techset,techset,mc_ambient_t0c0,15.1,15.1
24,mp_deathrun_amazing,  xmodel,xmodel,foliage_dead_pine_xl,208.1,208.5
25,mp_deathrun_amazing,  xmodel,xmodel,jeepride_shrubgroup_01,5.0,5.1
26,mp_deathrun_amazing,  xmodel,xmodel,foliage_bush_big_brown,33.5,33.7
