index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/mc_l_sm_r0c0d0n0s0,36.7,36.7
2,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,18.2,18.2
3,  techset,techset,mc_l_sm_r0c0d0n0s0,58.7,58.7
4,  techset,techset,mc_l_sm_r0c0d0n0,35.9,35.9
5,  techset,techset,mc_l_hsm_r0c0d0n0,20.8,20.8
6,  techset,techset,mc_l_hsm_r0c0d0n0s0,21.9,21.9
7,  xmodel,xmodel,aftermath_transformer_doodad,17.0,18.1
8,  techset,techset,sm2/wc_l_sm_r0c0,14.5,14.5
9,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
10,  techset,techset,wc_l_sm_r0c0,21.0,21.0
11,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
12,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
13,  techset,techset,wc_unlit_multiply,1.8,1.8
14,  techset,techset,sm2/wc_l_sm_t0c0,10.9,10.9
15,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
16,  techset,techset,wc_l_sm_t0c0,16.6,16.6
17,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
18,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,13.0,13.0
19,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
20,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
21,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
22,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
23,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,7.8,7.8
24,  techset,techset,wc_l_sm_r0c0d0n0s0,24.7,24.7
25,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
26,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
27,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
28,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
29,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
30,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
31,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
32,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
33,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
34,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
35,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
36,  techset,techset,wc_l_hsm_r0c0d0n0,7.0,7.0
37,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
38,  techset,techset,sm2/wc_l_sm_t0c0n0,9.6,9.6
