index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_bangarang,  techset,techset,sm2/mc_l_sm_r0c0d0n0s0,36.7,36.7
2,mp_deathrun_bangarang,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,18.2,18.2
3,mp_deathrun_bangarang,  techset,techset,mc_l_sm_r0c0d0n0s0,58.7,58.7
4,mp_deathrun_bangarang,  techset,techset,mc_l_sm_r0c0d0n0,35.9,35.9
5,mp_deathrun_bangarang,  techset,techset,mc_l_hsm_r0c0d0n0,20.8,20.8
6,mp_deathrun_bangarang,  techset,techset,mc_l_hsm_r0c0d0n0s0,21.9,21.9
7,mp_deathrun_bangarang,  xmodel,xmodel,aftermath_transformer_doodad,17.0,18.1
8,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_r0c0,14.5,14.5
9,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
10,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0,21.0,21.0
11,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
12,mp_deathrun_bangarang,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
13,mp_deathrun_bangarang,  techset,techset,wc_unlit_multiply,1.8,1.8
14,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_t0c0,10.9,10.9
15,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
16,mp_deathrun_bangarang,  techset,techset,wc_l_sm_t0c0,16.6,16.6
17,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
18,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,13.0,13.0
19,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
20,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
21,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
22,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
23,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,7.8,7.8
24,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0d0n0s0,24.7,24.7
25,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
26,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
27,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
28,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
29,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
30,mp_deathrun_bangarang,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
31,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
32,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
33,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
34,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
35,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
36,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0d0n0,7.0,7.0
37,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
38,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_sm_t0c0n0,9.6,9.6
39,mp_deathrun_bangarang,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
40,mp_deathrun_bangarang,  techset,techset,wc_l_sm_t0c0n0,16.0,16.0
41,mp_deathrun_bangarang,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
42,mp_deathrun_bangarang,  gfx_map,gfx_map,maps/mp/mp_deathrun_bangarang.d3dbsp,7473.8,7477.5
43,mp_deathrun_bangarang,    map_ents,map_ents,maps/mp/mp_deathrun_bangarang.d3dbsp,4.1,4.1
44,mp_deathrun_bangarang,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_bangarang.d3dbsp,45.6,49.7
45,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/mp_deathrun_bangarang.gsc,4.8,4.8
46,mp_deathrun_bangarang,  impactfx,impactfx,,1.6,1.6
47,mp_deathrun_bangarang,  sound,sound,artillery_explosion,1.2,1.2
48,mp_deathrun_bangarang,  sound,sound,elm_metal_rattle,1.2,1.2
49,mp_deathrun_bangarang,  sound,sound,mortar_incoming,1.6,1.6
50,mp_deathrun_bangarang,  sound,sound,generic_death_arab_4,1.1,1.1
51,mp_deathrun_bangarang,  rawfile,rawfile,codescripts/character.gsc,5.0,5.0
52,mp_deathrun_bangarang,  rawfile,rawfile,common_scripts/utility.gsc,25.6,25.6
53,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_ac130.gsc,5.1,5.1
54,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_art.gsc,24.9,24.9
55,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_compass.gsc,2.3,2.3
56,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_createfx.gsc,41.4,41.4
57,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_createfxmenu.gsc,12.3,12.3
58,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_destructables.gsc,2.2,2.2
59,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_destructible.gsc,46.6,46.6
60,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_destructible_types.gsc,64.4,64.4
61,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_entityheadicons.gsc,5.2,5.2
62,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_flashgrenades.gsc,3.0,3.0
63,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_fx.gsc,18.3,18.3
64,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_global_fx.gsc,3.0,3.0
65,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_helicopter.gsc,43.8,43.8
66,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_load.gsc,18.4,18.4
67,mp_deathrun_bangarang,  rawfile,rawfile,maps/mp/_shutter.gsc,4.8,4.8
