index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_chram,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
2,mp_deathrun_chram,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_deathrun_chram,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,mp_deathrun_chram,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,mp_deathrun_chram,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
6,mp_deathrun_chram,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,mp_deathrun_chram,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
8,mp_deathrun_chram,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
9,mp_deathrun_chram,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
10,mp_deathrun_chram,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
11,mp_deathrun_chram,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
12,mp_deathrun_chram,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
13,mp_deathrun_chram,  gfx_map,gfx_map,maps/mp/mp_deathrun_chram.d3dbsp,1419.7,1420.2
14,mp_deathrun_chram,    map_ents,map_ents,maps/mp/mp_deathrun_chram.d3dbsp,3.1,3.1
15,mp_deathrun_chram,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_chram.d3dbsp,146.8,150.0
16,mp_deathrun_chram,  impactfx,impactfx,,1.5,1.5
17,mp_deathrun_chram,  sound,sound,artillery_explosion,1.2,1.2
18,mp_deathrun_chram,  sound,sound,elm_metal_rattle,1.2,1.2
19,mp_deathrun_chram,  sound,sound,mortar_incoming,1.6,1.6
20,mp_deathrun_chram,  sound,sound,generic_death_arab_4,1.1,1.1
21,mp_deathrun_chram,    menu,menu,connect_4gf,5.8,5.9
22,mp_deathrun_chram,  menufile,menufile,ui_mp/scriptmenus/connect_4gf.menu,0.0,5.9
23,mp_deathrun_chram,assetlist,assetlist,,2.8,1804.8
24,mp_deathrun_chram,techset,techset,(misc),2.6,2.6
25,mp_deathrun_chram,sound,sound,(misc),35.5,35.5
26,mp_deathrun_chram,loaded_sound,loaded_sound,(misc),2.5,2.5
27,mp_deathrun_chram,fx,fx,(misc),3.1,3.1
