index,type,type,name,usage(KB),total(KB)
1,  string,string,,4.8,4.8
2,  techset,techset,sm2/mc_l_sm_t0c0n0,36.1,36.1
3,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,  techset,techset,mc_l_sm_t0c0n0,49.5,49.5
5,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
6,  xmodel,xmodel,me_canopy_3x4_2,14.9,15.1
7,  techset,techset,mc_l_sm_t0c0n0s0,44.2,44.2
8,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
9,  xmodel,xmodel,com_ex_airconditioner,45.5,45.8
10,  xmodel,xmodel,me_balcony_01,145.3,145.8
11,  xmodel,xmodel,me_canopy_04,23.2,23.7
12,  xmodel,xmodel,me_electricbox2,15.4,15.7
13,  xmodel,xmodel,me_satellitedish,99.8,100.1
14,  xmodel,xmodel,me_antenna,44.5,44.8
15,  xmodel,xmodel,me_corrugated_metal8x8,44.9,45.2
16,  xmodel,xmodel,me_corrugated_metal4x8,23.5,23.5
17,  xmodel,xmodel,me_lightfluohang,38.6,38.9
18,  xmodel,xmodel,me_canopy_large2,90.9,91.1
19,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
20,  techset,techset,mc_ambient_t0c0,12.9,12.9
21,  xmodel,xmodel,foliage_bush_big,33.5,33.6
22,  xmodel,xmodel,com_plastic_bucket,57.9,58.4
23,  xmodel,xmodel,me_market_umbrella_3,38.4,38.9
24,  xmodel,xmodel,vehicle_pickup_roobars,672.2,672.9
25,  xmodel,xmodel,vehicle_bulldozer,950.2,950.7
26,  xmodel,xmodel,me_canopy_3x4_1,18.2,18.2
27,  xmodel,xmodel,me_canopy_large1,49.7,49.7
28,  xmodel,xmodel,me_market_canopy7,10.1,10.6
29,  xmodel,xmodel,me_canopy_2x4_1,29.0,29.0
30,  xmodel,xmodel,me_canopy_2x4_3,44.1,44.1
31,  xmodel,xmodel,me_ac_big,4.3,4.6
32,  xmodel,xmodel,me_electricbox3,8.4,8.4
33,  xmodel,xmodel,me_canopy_folded_01,58.9,59.2
34,  xmodel,xmodel,me_electricbox4,12.3,12.5
35,  xmodel,xmodel,me_ac_window,6.9,7.1
36,  xmodel,xmodel,com_electrical_pipe,9.1,9.4
37,  xmodel,xmodel,me_antenna3,47.0,47.0
38,  xmodel,xmodel,com_lightbox,70.9,71.1
39,  xmodel,xmodel,com_electrical_pipe_elbow,5.7,5.7
40,  xmodel,xmodel,me_electricbox1,11.4,11.7
41,  xmodel,xmodel,com_pallet_2,45.5,45.7
42,  xmodel,xmodel,bog_b_cinderblock_clutter,8.6,8.9
43,  xmodel,xmodel,vehicle_80s_hatch1_brn,472.6,473.7
44,  xmodel,xmodel,facade_lowres_building_01,49.4,49.6
45,  xmodel,xmodel,facade_lowres_building_02,26.5,26.5
46,  xmodel,xmodel,facade_lowres_building_03,59.4,59.4
47,  xmodel,xmodel,facade_lowres_building_04,33.5,33.5
48,  xmodel,xmodel,facade_lowres_building_05,8.4,8.4
49,  xmodel,xmodel,facade_lowres_building_06,24.7,24.7
50,  xmodel,xmodel,facade_lowres_building_07,15.8,15.8
51,  xmodel,xmodel,facade_lowres_building_09,9.8,9.8
52,  xmodel,xmodel,facade_lowres_building_10,19.2,19.2
53,  xmodel,xmodel,com_crate01,15.2,15.4
54,  xmodel,xmodel,4gf_logo,515.1,515.6
55,  xmodel,xmodel,com_speaker,30.7,30.9
56,  xmodel,xmodel,4gf_logo_petx,422.7,422.7
57,  techset,techset,sm2/mc_unlit_replace,1.4,1.4
58,  techset,techset,mc_unlit_replace,1.2,1.2
59,  xmodel,xmodel,com_laptop_open,35.5,35.9
60,  techset,techset,sm2/wc_l_sm_r0c0n0s0,18.0,18.0
61,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
62,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
63,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
64,  techset,techset,wc_l_sm_r0c0n0s0,30.4,30.4
65,  techset,techset,wc_l_sm_r0c0,18.2,18.2
66,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
67,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
68,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
69,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
70,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
71,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
72,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
73,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
74,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
75,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
76,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
77,  techset,techset,wc_l_sm_t0c0,11.8,11.8
78,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
79,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
80,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
81,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
82,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
83,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
84,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
85,  techset,techset,wc_unlit_multiply,1.8,1.8
86,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,14.3,14.3
87,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
88,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
89,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
90,  techset,techset,wc_l_sm_r0c0d0n0s0,21.3,21.3
91,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
92,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
93,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
94,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
95,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
96,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
97,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
98,  techset,techset,sm2/wc_water,2.6,2.6
99,  techset,techset,wc_water,2.5,2.5
100,  techset,techset,sm2/wc_unlit_distfalloff,1.1,1.1
101,  techset,techset,wc_unlit_distfalloff,1.0,1.0
102,    material,material,wc/aftermath_water,48.2,48.2
103,  gfx_map,gfx_map,maps/mp/mp_deathrun_city.d3dbsp,2799.5,2867.1
104,    map_ents,map_ents,maps/mp/mp_deathrun_city.d3dbsp,12.2,12.2
105,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_city.d3dbsp,524.9,537.1
106,  rawfile,rawfile,maps/mp/mp_deathrun_city.gsc,1.9,1.9
107,  rawfile,rawfile,maps/mp/mp_deathrun_city_script.gsc,10.0,10.0
108,  impactfx,impactfx,,1.5,1.5
109,  fx,fx,misc/icbm_post_light_red,3.2,3.4
110,  sound,sound,artillery_explosion,1.2,1.2
111,  sound,sound,elm_metal_rattle,1.2,1.2
112,  sound,sound,mortar_incoming,1.6,1.6
113,  sound,sound,generic_death_arab_4,1.1,1.1
114,  sound,sound,weap_suitcase_button_press_plr,0.9,1.2
115,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
116,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
117,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
118,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
119,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
120,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
121,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
122,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
123,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
124,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
125,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
126,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
127,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
128,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
129,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
130,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
131,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
132,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
133,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
134,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
135,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
136,  rawfile,rawfile,mp_deathrun_city,2.2,2.2
137,assetlist,assetlist,,9.8,14414.5
138,xmodel,xmodel,(misc),1.5,1.5
139,material,material,(misc),25.5,25.5
140,techset,techset,(misc),4.3,4.3
141,image,image,(misc),11.1,11.1
142,sound,sound,(misc),185.8,185.8
143,loaded_sound,loaded_sound,(misc),3.6,3.6
144,fx,fx,(misc),3.8,3.8
145,rawfile,rawfile,(misc),1.4,1.4
