index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_city,  string,string,,4.8,4.8
2,mp_deathrun_city,  techset,techset,sm2/mc_l_sm_t0c0n0,36.1,36.1
3,mp_deathrun_city,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,mp_deathrun_city,  techset,techset,mc_l_sm_t0c0n0,49.5,49.5
5,mp_deathrun_city,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
6,mp_deathrun_city,  xmodel,xmodel,me_canopy_3x4_2,14.9,15.1
7,mp_deathrun_city,  techset,techset,mc_l_sm_t0c0n0s0,44.2,44.2
8,mp_deathrun_city,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
9,mp_deathrun_city,  xmodel,xmodel,com_ex_airconditioner,45.5,45.8
10,mp_deathrun_city,  xmodel,xmodel,me_balcony_01,145.3,145.8
11,mp_deathrun_city,  xmodel,xmodel,me_canopy_04,23.2,23.7
12,mp_deathrun_city,  xmodel,xmodel,me_electricbox2,15.4,15.7
13,mp_deathrun_city,  xmodel,xmodel,me_satellitedish,99.8,100.1
14,mp_deathrun_city,  xmodel,xmodel,me_antenna,44.5,44.8
15,mp_deathrun_city,  xmodel,xmodel,me_corrugated_metal8x8,44.9,45.2
16,mp_deathrun_city,  xmodel,xmodel,me_corrugated_metal4x8,23.5,23.5
17,mp_deathrun_city,  xmodel,xmodel,me_lightfluohang,38.6,38.9
18,mp_deathrun_city,  xmodel,xmodel,me_canopy_large2,90.9,91.1
19,mp_deathrun_city,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
20,mp_deathrun_city,  techset,techset,mc_ambient_t0c0,12.9,12.9
21,mp_deathrun_city,  xmodel,xmodel,foliage_bush_big,33.5,33.6
22,mp_deathrun_city,  xmodel,xmodel,com_plastic_bucket,57.9,58.4
23,mp_deathrun_city,  xmodel,xmodel,me_market_umbrella_3,38.4,38.9
24,mp_deathrun_city,  xmodel,xmodel,vehicle_pickup_roobars,672.2,672.9
25,mp_deathrun_city,  xmodel,xmodel,vehicle_bulldozer,950.2,950.7
26,mp_deathrun_city,  xmodel,xmodel,me_canopy_3x4_1,18.2,18.2
27,mp_deathrun_city,  xmodel,xmodel,me_canopy_large1,49.7,49.7
28,mp_deathrun_city,  xmodel,xmodel,me_market_canopy7,10.1,10.6
29,mp_deathrun_city,  xmodel,xmodel,me_canopy_2x4_1,29.0,29.0
30,mp_deathrun_city,  xmodel,xmodel,me_canopy_2x4_3,44.1,44.1
31,mp_deathrun_city,  xmodel,xmodel,me_ac_big,4.3,4.6
32,mp_deathrun_city,  xmodel,xmodel,me_electricbox3,8.4,8.4
33,mp_deathrun_city,  xmodel,xmodel,me_canopy_folded_01,58.9,59.2
34,mp_deathrun_city,  xmodel,xmodel,me_electricbox4,12.3,12.5
35,mp_deathrun_city,  xmodel,xmodel,me_ac_window,6.9,7.1
36,mp_deathrun_city,  xmodel,xmodel,com_electrical_pipe,9.1,9.4
37,mp_deathrun_city,  xmodel,xmodel,me_antenna3,47.0,47.0
38,mp_deathrun_city,  xmodel,xmodel,com_lightbox,70.9,71.1
39,mp_deathrun_city,  xmodel,xmodel,com_electrical_pipe_elbow,5.7,5.7
40,mp_deathrun_city,  xmodel,xmodel,me_electricbox1,11.4,11.7
41,mp_deathrun_city,  xmodel,xmodel,com_pallet_2,45.5,45.7
42,mp_deathrun_city,  xmodel,xmodel,bog_b_cinderblock_clutter,8.6,8.9
43,mp_deathrun_city,  xmodel,xmodel,vehicle_80s_hatch1_brn,472.6,473.7
44,mp_deathrun_city,  xmodel,xmodel,facade_lowres_building_01,49.4,49.6
45,mp_deathrun_city,  xmodel,xmodel,facade_lowres_building_02,26.5,26.5
46,mp_deathrun_city,  xmodel,xmodel,facade_lowres_building_03,59.4,59.4
47,mp_deathrun_city,  xmodel,xmodel,facade_lowres_building_04,33.5,33.5
48,mp_deathrun_city,  xmodel,xmodel,facade_lowres_building_05,8.4,8.4
