index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.5,3.5
2,  xmodel,xmodel,icbm_electricpanel1,8.6,8.8
3,  xmodel,xmodel,ch_bumper_car_st_wheel,30.8,31.1
4,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
5,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
6,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
7,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
8,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
9,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
10,  xmodel,xmodel,aftermath_power_stationthing3,64.4,64.9
11,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.2,2.2
12,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
13,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.0,2.0
14,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
15,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
16,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
17,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
18,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
19,  xmodel,xmodel,ch_industrial_lamp_on,33.2,34.3
20,  xmodel,xmodel,4gf_logo_petx,424.4,424.8
21,  xmodel,xmodel,4gf_logo,513.5,513.5
22,  xmodel,xmodel,ch_crate64x64,33.0,33.3
23,  xmodel,xmodel,ch_crate24x36,59.3,59.3
24,  xmodel,xmodel,ch_crate32x48,59.8,59.8
25,  xmodel,xmodel,ch_crate48x64,62.3,62.3
26,  xmodel,xmodel,vehicle_mig29_missile_alamo_static,11.6,11.6
27,  xmodel,xmodel,vehicle_blackhawk,671.8,672.8
28,  xmodel,xmodel,4gf_laser_emitor,70.7,70.9
29,  techset,techset,sm2/wc_l_sm_r0c0s0,16.8,16.8
30,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
31,  techset,techset,wc_l_sm_r0c0s0,27.7,27.7
32,  techset,techset,wc_l_sm_r0c0,13.6,13.6
33,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
34,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
35,  techset,techset,sm2/wc_l_sm_r0c0n0s0,14.0,14.0
36,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
37,  techset,techset,wc_l_sm_r0c0n0s0,26.5,26.5
38,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
39,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
40,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
41,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
42,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
43,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
44,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
45,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
46,  techset,techset,wc_l_sm_t0c0,13.4,13.4
47,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
48,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
49,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
50,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
51,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
52,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
53,  techset,techset,sm2/wc_water,2.6,2.6
54,  techset,techset,wc_water,2.5,2.5
55,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
56,  techset,techset,wc_unlit_multiply,1.8,1.8
57,    material,material,wc/chernobyl_water,48.2,48.2
58,  gfx_map,gfx_map,maps/mp/mp_deathrun_clear.d3dbsp,2265.6,2318.5
59,    map_ents,map_ents,maps/mp/mp_deathrun_clear.d3dbsp,17.6,17.6
60,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_clear.d3dbsp,518.2,535.8
61,  impactfx,impactfx,,1.6,1.6
62,  fx,fx,smoke/emitter_rocket_trail,1.3,1.3
