index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.1,3.1
2,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,  xmodel,xmodel,com_lamp_ornate_off,33.9,34.2
9,  xmodel,xmodel,com_cafe_chair,28.4,28.7
10,  xmodel,xmodel,com_door_01_handleright,4.4,4.7
11,  xmodel,xmodel,com_longdiningtable,16.5,16.8
12,  xmodel,xmodel,com_grandfatherclocktall,13.9,14.2
13,  xmodel,xmodel,com_stove,41.5,41.8
14,  xmodel,xmodel,com_potted_plant01,48.6,48.8
15,  xmodel,xmodel,com_flower_pot01,39.1,39.7
16,  xmodel,xmodel,com_dining_cabinet,64.8,65.1
17,  xmodel,xmodel,com_furniture_sidetable1,34.2,34.2
18,  xmodel,xmodel,com_dresser,14.6,14.6
19,  xmodel,xmodel,com_hookah_pipe,149.7,150.0
20,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.3
21,  xmodel,xmodel,wetwork_house_vent,10.9,11.3
22,  xmodel,xmodel,icbm_electricpanel1,8.6,8.8
23,  xmodel,xmodel,body_mp_usmc_rifleman,647.3,649.2
24,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
25,  xmodel,xmodel,weapon_javelin,74.7,75.0
26,  xmodel,xmodel,com_bottle1,10.3,10.6
27,  xmodel,xmodel,com_bottle2,10.4,10.4
28,  xmodel,xmodel,com_bottle3,11.2,11.2
29,  xmodel,xmodel,com_bottle4,10.2,10.2
30,  xmodel,xmodel,ap_luggage04,48.4,48.7
31,  xmodel,xmodel,com_cardboardbox01,10.6,11.1
32,  xmodel,xmodel,com_cardboardbox02,10.9,10.9
33,  xmodel,xmodel,com_cardboardbox03,17.9,17.9
34,  xmodel,xmodel,com_cardboardbox04,2.3,2.3
35,  xmodel,xmodel,com_cardboardbox05,1.6,1.6
36,  xmodel,xmodel,com_cardboardbox06,9.8,9.8
37,  xmodel,xmodel,icbm_turbofan176,34.0,34.2
38,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
39,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
40,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
41,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
42,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
43,  techset,techset,wc_l_sm_r0c0,18.2,18.2
44,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
45,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
46,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
47,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
48,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
49,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
50,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
