index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
2,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
3,  techset,techset,wc_l_sm_r0c0,24.3,24.3
4,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
5,  gfx_map,gfx_map,maps/mp/mp_deathrun_crazy_bug.d3dbsp,2650.9,2651.2
6,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_crazy_bug.d3dbsp,817.8,818.5
7,  impactfx,impactfx,,1.5,1.5
8,  sound,sound,artillery_explosion,1.2,1.2
9,  sound,sound,elm_metal_rattle,1.2,1.2
10,  sound,sound,mortar_incoming,1.6,1.6
11,  sound,sound,generic_death_arab_4,1.1,1.1
12,assetlist,assetlist,,2.6,3581.8
13,techset,techset,(misc),1.1,1.1
14,sound,sound,(misc),35.5,35.5
15,loaded_sound,loaded_sound,(misc),2.5,2.5
16,fx,fx,(misc),3.1,3.1
