index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_crazy_bug,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
2,mp_deathrun_crazy_bug,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
3,mp_deathrun_crazy_bug,  techset,techset,wc_l_sm_r0c0,24.3,24.3
4,mp_deathrun_crazy_bug,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
5,mp_deathrun_crazy_bug,  gfx_map,gfx_map,maps/mp/mp_deathrun_crazy_bug.d3dbsp,2650.9,2651.2
6,mp_deathrun_crazy_bug,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_crazy_bug.d3dbsp,817.8,818.5
7,mp_deathrun_crazy_bug,  impactfx,impactfx,,1.5,1.5
8,mp_deathrun_crazy_bug,  sound,sound,artillery_explosion,1.2,1.2
9,mp_deathrun_crazy_bug,  sound,sound,elm_metal_rattle,1.2,1.2
10,mp_deathrun_crazy_bug,  sound,sound,mortar_incoming,1.6,1.6
11,mp_deathrun_crazy_bug,  sound,sound,generic_death_arab_4,1.1,1.1
12,mp_deathrun_crazy_bug,assetlist,assetlist,,2.6,3581.8
13,mp_deathrun_crazy_bug,techset,techset,(misc),1.1,1.1
14,mp_deathrun_crazy_bug,sound,sound,(misc),35.5,35.5
15,mp_deathrun_crazy_bug,loaded_sound,loaded_sound,(misc),2.5,2.5
16,mp_deathrun_crazy_bug,fx,fx,(misc),3.1,3.1
