index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_crazy,  string,string,,3.1,3.1
2,mp_deathrun_crazy,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,mp_deathrun_crazy,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,mp_deathrun_crazy,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,mp_deathrun_crazy,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,mp_deathrun_crazy,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,mp_deathrun_crazy,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,mp_deathrun_crazy,  xmodel,xmodel,com_lamp_ornate_off,33.9,34.2
9,mp_deathrun_crazy,  xmodel,xmodel,com_cafe_chair,28.4,28.7
10,mp_deathrun_crazy,  xmodel,xmodel,com_door_01_handleright,4.4,4.7
11,mp_deathrun_crazy,  xmodel,xmodel,com_longdiningtable,16.5,16.8
12,mp_deathrun_crazy,  xmodel,xmodel,com_grandfatherclocktall,13.9,14.2
13,mp_deathrun_crazy,  xmodel,xmodel,com_stove,41.5,41.8
14,mp_deathrun_crazy,  xmodel,xmodel,com_potted_plant01,48.6,48.8
15,mp_deathrun_crazy,  xmodel,xmodel,com_flower_pot01,39.1,39.7
16,mp_deathrun_crazy,  xmodel,xmodel,com_dining_cabinet,64.8,65.1
17,mp_deathrun_crazy,  xmodel,xmodel,com_furniture_sidetable1,34.2,34.2
18,mp_deathrun_crazy,  xmodel,xmodel,com_dresser,14.6,14.6
19,mp_deathrun_crazy,  xmodel,xmodel,com_hookah_pipe,149.7,150.0
20,mp_deathrun_crazy,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.3
21,mp_deathrun_crazy,  xmodel,xmodel,wetwork_house_vent,10.9,11.3
22,mp_deathrun_crazy,  xmodel,xmodel,icbm_electricpanel1,8.6,8.8
23,mp_deathrun_crazy,  xmodel,xmodel,body_mp_usmc_rifleman,647.3,649.2
24,mp_deathrun_crazy,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
25,mp_deathrun_crazy,  xmodel,xmodel,weapon_javelin,74.7,75.0
26,mp_deathrun_crazy,  xmodel,xmodel,com_bottle1,10.3,10.6
27,mp_deathrun_crazy,  xmodel,xmodel,com_bottle2,10.4,10.4
28,mp_deathrun_crazy,  xmodel,xmodel,com_bottle3,11.2,11.2
29,mp_deathrun_crazy,  xmodel,xmodel,com_bottle4,10.2,10.2
30,mp_deathrun_crazy,  xmodel,xmodel,ap_luggage04,48.4,48.7
31,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox01,10.6,11.1
32,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox02,10.9,10.9
33,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox03,17.9,17.9
34,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox04,2.3,2.3
35,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox05,1.6,1.6
36,mp_deathrun_crazy,  xmodel,xmodel,com_cardboardbox06,9.8,9.8
37,mp_deathrun_crazy,  xmodel,xmodel,icbm_turbofan176,34.0,34.2
38,mp_deathrun_crazy,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
39,mp_deathrun_crazy,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
40,mp_deathrun_crazy,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
41,mp_deathrun_crazy,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
42,mp_deathrun_crazy,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
43,mp_deathrun_crazy,  techset,techset,wc_l_sm_r0c0,18.2,18.2
44,mp_deathrun_crazy,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
45,mp_deathrun_crazy,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
46,mp_deathrun_crazy,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
47,mp_deathrun_crazy,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
48,mp_deathrun_crazy,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
49,mp_deathrun_crazy,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
50,mp_deathrun_crazy,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
51,mp_deathrun_crazy,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
52,mp_deathrun_crazy,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
53,mp_deathrun_crazy,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
54,mp_deathrun_crazy,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
55,mp_deathrun_crazy,  techset,techset,wc_l_sm_t0c0,13.4,13.4
56,mp_deathrun_crazy,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
57,mp_deathrun_crazy,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
58,mp_deathrun_crazy,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
59,mp_deathrun_crazy,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
60,mp_deathrun_crazy,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
61,mp_deathrun_crazy,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
62,mp_deathrun_crazy,  gfx_map,gfx_map,maps/mp/mp_deathrun_crazy.d3dbsp,9265.1,9270.9
63,mp_deathrun_crazy,    map_ents,map_ents,maps/mp/mp_deathrun_crazy.d3dbsp,21.5,21.5
64,mp_deathrun_crazy,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_crazy.d3dbsp,673.5,695.0
65,mp_deathrun_crazy,  impactfx,impactfx,,1.5,1.5
66,mp_deathrun_crazy,  fx,fx,misc/fire21,2.3,2.4
67,mp_deathrun_crazy,  fx,fx,misc/fire22,2.3,2.3
68,mp_deathrun_crazy,  fx,fx,misc/playerfire,2.2,2.2
69,mp_deathrun_crazy,  fx,fx,smoke/player_smoke,1.4,1.4
70,mp_deathrun_crazy,  sound,sound,artillery_explosion,1.2,1.2
71,mp_deathrun_crazy,  sound,sound,elm_metal_rattle,1.2,1.2
72,mp_deathrun_crazy,  sound,sound,mortar_incoming,1.6,1.6
73,mp_deathrun_crazy,  sound,sound,generic_death_arab_4,1.1,1.1
74,mp_deathrun_crazy,  sound,sound,pain_1,1.4,1.4
75,mp_deathrun_crazy,  sound,sound,weap_suitcase_button_press_plr,0.9,1.2
