index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_crazy_sky,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
2,mp_deathrun_crazy_sky,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
3,mp_deathrun_crazy_sky,  techset,techset,wc_l_sm_r0c0,24.3,24.3
4,mp_deathrun_crazy_sky,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
5,mp_deathrun_crazy_sky,  gfx_map,gfx_map,maps/mp/mp_deathrun_crazy_sky.d3dbsp,74.6,74.9
6,mp_deathrun_crazy_sky,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_crazy_sky.d3dbsp,30.2,30.7
7,mp_deathrun_crazy_sky,  impactfx,impactfx,,1.5,1.5
8,mp_deathrun_crazy_sky,  sound,sound,artillery_explosion,1.2,1.2
9,mp_deathrun_crazy_sky,  sound,sound,elm_metal_rattle,1.2,1.2
10,mp_deathrun_crazy_sky,  sound,sound,mortar_incoming,1.6,1.6
11,mp_deathrun_crazy_sky,  sound,sound,generic_death_arab_4,1.1,1.1
12,mp_deathrun_crazy_sky,assetlist,assetlist,,2.6,217.7
13,mp_deathrun_crazy_sky,techset,techset,(misc),1.1,1.1
14,mp_deathrun_crazy_sky,sound,sound,(misc),35.5,35.5
15,mp_deathrun_crazy_sky,loaded_sound,loaded_sound,(misc),2.5,2.5
16,mp_deathrun_crazy_sky,fx,fx,(misc),3.1,3.1
