index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_dirt,  string,string,,2.5,2.5
2,mp_deathrun_dirt,  xmodel,xmodel,com_security_camera,94.1,94.2
3,mp_deathrun_dirt,  xmodel,xmodel,com_public_speaker_01,24.1,24.4
4,mp_deathrun_dirt,  xmodel,xmodel,ch_mattress_3,28.3,28.6
5,mp_deathrun_dirt,  xmodel,xmodel,ch_bumper_car_st_wheel,30.8,31.1
6,mp_deathrun_dirt,  xmodel,xmodel,4gf_logo_petx,424.4,424.9
7,mp_deathrun_dirt,  xmodel,xmodel,4gf_logo,513.5,513.5
8,mp_deathrun_dirt,  techset,techset,sm2/wc_unlit,1.7,1.7
9,mp_deathrun_dirt,  techset,techset,wc_unlit,1.5,1.5
10,mp_deathrun_dirt,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.6,19.6
11,mp_deathrun_dirt,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
12,mp_deathrun_dirt,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
13,mp_deathrun_dirt,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
14,mp_deathrun_dirt,  techset,techset,wc_l_sm_r0c0n0s0,31.5,31.5
15,mp_deathrun_dirt,  techset,techset,wc_l_sm_r0c0,18.2,18.2
16,mp_deathrun_dirt,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
17,mp_deathrun_dirt,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
18,mp_deathrun_dirt,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
19,mp_deathrun_dirt,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
20,mp_deathrun_dirt,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
21,mp_deathrun_dirt,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
22,mp_deathrun_dirt,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
23,mp_deathrun_dirt,  techset,techset,wc_unlit_multiply,1.8,1.8
