index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,4gf_logo,515.1,515.6
2,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
3,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
4,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
5,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
6,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
7,  techset,techset,wc_l_sm_r0c0,18.2,18.2
8,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
9,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
10,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
11,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
12,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
13,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
14,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,14.3,14.3
15,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
16,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
17,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
18,  techset,techset,wc_l_sm_r0c0d0n0s0,21.3,21.3
19,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
20,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
21,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
22,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
23,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
24,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
25,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
26,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
27,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
28,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
29,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
30,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
31,  techset,techset,wc_l_sm_t0c0,13.4,13.4
32,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
33,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
34,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
35,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
36,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
37,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
38,  gfx_map,gfx_map,maps/mp/mp_deathrun_easy.d3dbsp,4738.1,4740.8
39,    map_ents,map_ents,maps/mp/mp_deathrun_easy.d3dbsp,13.3,13.3
40,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_easy.d3dbsp,91.6,105.0
41,  rawfile,rawfile,maps/mp/mp_deathrun_easy.gsc,3.7,3.7
42,  impactfx,impactfx,,1.5,1.5
43,  sound,sound,artillery_explosion,1.2,1.2
44,  sound,sound,elm_metal_rattle,1.2,1.2
45,  sound,sound,mortar_incoming,1.6,1.6
46,  sound,sound,generic_death_arab_4,1.1,1.1
47,  rawfile,rawfile,maps/mp/mp_deathrun_easy/fx_load.gsc,1.1,1.1
48,  rawfile,rawfile,maps/mp/mp_deathrun_easy/teleport.gsc,1.9,1.9
49,  rawfile,rawfile,maps/mp/mp_deathrun_easy/teleport2.gsc,1.9,1.9
50,  rawfile,rawfile,maps/mp/mp_deathrun_easy/end_knife.gsc,1.1,1.1
51,  rawfile,rawfile,maps/mp/mp_deathrun_easy/billboard1.gsc,2.0,2.0
52,  rawfile,rawfile,maps/mp/mp_deathrun_easy/billboard2.gsc,2.0,2.0
53,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap2.gsc,2.0,2.0
54,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap4.gsc,1.5,1.5
55,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap5.gsc,1.6,1.6
56,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap6.gsc,2.5,2.5
57,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap7.gsc,1.5,1.5
58,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap8.gsc,1.5,1.5
59,assetlist,assetlist,,3.3,5886.0
60,material,material,(misc),2.1,2.1
61,techset,techset,(misc),4.2,4.2
62,image,image,(misc),1.1,1.1
63,sound,sound,(misc),35.5,35.5
64,loaded_sound,loaded_sound,(misc),2.5,2.5
65,fx,fx,(misc),3.1,3.1
66,rawfile,rawfile,(misc),1.2,1.2
