index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_easy,  xmodel,xmodel,4gf_logo,515.1,515.6
2,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
3,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
4,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
5,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
6,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
7,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0,18.2,18.2
8,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
9,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
10,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
11,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
12,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
13,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
14,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,14.3,14.3
15,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
16,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
17,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
18,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0d0n0s0,21.3,21.3
19,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
20,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
21,mp_deathrun_easy,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
22,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
23,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
24,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
25,mp_deathrun_easy,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
26,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
27,mp_deathrun_easy,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
28,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
29,mp_deathrun_easy,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
30,mp_deathrun_easy,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
31,mp_deathrun_easy,  techset,techset,wc_l_sm_t0c0,13.4,13.4
32,mp_deathrun_easy,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
33,mp_deathrun_easy,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
34,mp_deathrun_easy,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
35,mp_deathrun_easy,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
36,mp_deathrun_easy,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
37,mp_deathrun_easy,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
38,mp_deathrun_easy,  gfx_map,gfx_map,maps/mp/mp_deathrun_easy.d3dbsp,4738.1,4740.8
39,mp_deathrun_easy,    map_ents,map_ents,maps/mp/mp_deathrun_easy.d3dbsp,13.3,13.3
40,mp_deathrun_easy,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_easy.d3dbsp,91.6,105.0
41,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy.gsc,3.7,3.7
42,mp_deathrun_easy,  impactfx,impactfx,,1.5,1.5
43,mp_deathrun_easy,  sound,sound,artillery_explosion,1.2,1.2
44,mp_deathrun_easy,  sound,sound,elm_metal_rattle,1.2,1.2
45,mp_deathrun_easy,  sound,sound,mortar_incoming,1.6,1.6
46,mp_deathrun_easy,  sound,sound,generic_death_arab_4,1.1,1.1
47,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/fx_load.gsc,1.1,1.1
48,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/teleport.gsc,1.9,1.9
49,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/teleport2.gsc,1.9,1.9
50,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/end_knife.gsc,1.1,1.1
51,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/billboard1.gsc,2.0,2.0
52,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/billboard2.gsc,2.0,2.0
53,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap2.gsc,2.0,2.0
54,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap4.gsc,1.5,1.5
55,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap5.gsc,1.6,1.6
56,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap6.gsc,2.5,2.5
57,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap7.gsc,1.5,1.5
58,mp_deathrun_easy,  rawfile,rawfile,maps/mp/mp_deathrun_easy/traps/trap8.gsc,1.5,1.5
59,mp_deathrun_easy,assetlist,assetlist,,3.3,5886.0
60,mp_deathrun_easy,material,material,(misc),2.1,2.1
61,mp_deathrun_easy,techset,techset,(misc),4.2,4.2
62,mp_deathrun_easy,image,image,(misc),1.1,1.1
63,mp_deathrun_easy,sound,sound,(misc),35.5,35.5
64,mp_deathrun_easy,loaded_sound,loaded_sound,(misc),2.5,2.5
65,mp_deathrun_easy,fx,fx,(misc),3.1,3.1
66,mp_deathrun_easy,rawfile,rawfile,(misc),1.2,1.2
