index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
2,  techset,techset,sm2/mc_threed_cinematic,1.4,1.4
3,  techset,techset,mc_threed_cinematic,1.3,1.3
4,  xmodel,xmodel,com_widescreenmonitor_cinematic_1,26.3,26.7
5,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.8,20.8
6,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
7,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
8,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
9,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
10,  techset,techset,wc_l_sm_r0c0,18.2,18.2
11,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
12,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
13,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
14,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
15,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
16,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
17,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
18,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
19,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
20,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
21,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
22,  techset,techset,wc_l_sm_t0c0,13.4,13.4
23,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
24,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
25,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
26,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
27,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
28,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
29,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
30,  techset,techset,wc_unlit_multiply,1.8,1.8
31,  techset,techset,sm2/wc_tools,2.8,2.8
32,  techset,techset,wc_tools,2.6,2.6
33,  gfx_map,gfx_map,maps/mp/mp_deathrun_scary.d3dbsp,12049.4,12055.3
34,    map_ents,map_ents,maps/mp/mp_deathrun_scary.d3dbsp,5.1,5.1
35,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_scary.d3dbsp,114.7,119.8
36,  rawfile,rawfile,maps/mp/mp_deathrun_scary.gsc,5.1,5.1
37,  impactfx,impactfx,,1.5,1.5
38,  sound,sound,artillery_explosion,1.2,1.2
39,  sound,sound,elm_metal_rattle,1.2,1.2
40,  sound,sound,mortar_incoming,1.6,1.6
41,  sound,sound,generic_death_arab_4,1.1,1.1
42,  rawfile,rawfile,codescripts/character.gsc,5.0,5.0
43,  rawfile,rawfile,common_scripts/utility.gsc,25.6,25.6
44,  rawfile,rawfile,maps/mp/_ac130.gsc,5.1,5.1
45,  rawfile,rawfile,maps/mp/_art.gsc,24.9,24.9
46,  rawfile,rawfile,maps/mp/_compass.gsc,2.3,2.3
47,  rawfile,rawfile,maps/mp/_createfx.gsc,41.4,41.4
48,  rawfile,rawfile,maps/mp/_createfxmenu.gsc,12.3,12.3
49,  rawfile,rawfile,maps/mp/_destructables.gsc,2.2,2.2
50,  rawfile,rawfile,maps/mp/_destructible.gsc,46.6,46.6
51,  rawfile,rawfile,maps/mp/_destructible_types.gsc,64.4,64.4
52,  rawfile,rawfile,maps/mp/_entityheadicons.gsc,5.2,5.2
53,  rawfile,rawfile,maps/mp/_flashgrenades.gsc,3.0,3.0
54,  rawfile,rawfile,maps/mp/_fx.gsc,18.3,18.3
55,  rawfile,rawfile,maps/mp/_global_fx.gsc,3.0,3.0
56,  rawfile,rawfile,maps/mp/_helicopter.gsc,43.8,43.8
57,  rawfile,rawfile,maps/mp/_load.gsc,18.4,18.4
58,  rawfile,rawfile,maps/mp/_shutter.gsc,4.8,4.8
59,  rawfile,rawfile,maps/mp/_teargrenades.gsc,4.3,4.3
60,  rawfile,rawfile,maps/mp/_utility.gsc,20.3,20.3
61,  rawfile,rawfile,maps/mp/_explosive_barrels.gsc,10.9,10.9
62,  rawfile,rawfile,maps/_80s_hatch1.gsc,2.1,2.1
63,  rawfile,rawfile,maps/_80s_sedan1.gsc,1.8,1.8
64,  rawfile,rawfile,maps/_80s_wagon1.gsc,2.2,2.2
65,  rawfile,rawfile,maps/_ac130.gsc,53.0,53.0
66,  rawfile,rawfile,maps/_ambient.gsc,15.4,15.4
67,  rawfile,rawfile,maps/_anim.gsc,76.6,76.6
68,  rawfile,rawfile,maps/_animatedmodels.gsc,6.8,6.8
69,  rawfile,rawfile,maps/_arcademode.gsc,60.6,60.6
