index,zone,type,type,name,usage(KB),total(KB)
1,mp_deathrun_scary,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
2,mp_deathrun_scary,  techset,techset,sm2/mc_threed_cinematic,1.4,1.4
3,mp_deathrun_scary,  techset,techset,mc_threed_cinematic,1.3,1.3
4,mp_deathrun_scary,  xmodel,xmodel,com_widescreenmonitor_cinematic_1,26.3,26.7
5,mp_deathrun_scary,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.8,20.8
6,mp_deathrun_scary,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
7,mp_deathrun_scary,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
8,mp_deathrun_scary,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
9,mp_deathrun_scary,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
10,mp_deathrun_scary,  techset,techset,wc_l_sm_r0c0,18.2,18.2
11,mp_deathrun_scary,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
12,mp_deathrun_scary,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
13,mp_deathrun_scary,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
14,mp_deathrun_scary,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
15,mp_deathrun_scary,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
16,mp_deathrun_scary,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
17,mp_deathrun_scary,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
18,mp_deathrun_scary,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
19,mp_deathrun_scary,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
20,mp_deathrun_scary,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
21,mp_deathrun_scary,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
22,mp_deathrun_scary,  techset,techset,wc_l_sm_t0c0,13.4,13.4
23,mp_deathrun_scary,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
24,mp_deathrun_scary,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
25,mp_deathrun_scary,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
26,mp_deathrun_scary,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
27,mp_deathrun_scary,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
28,mp_deathrun_scary,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
29,mp_deathrun_scary,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
30,mp_deathrun_scary,  techset,techset,wc_unlit_multiply,1.8,1.8
31,mp_deathrun_scary,  techset,techset,sm2/wc_tools,2.8,2.8
32,mp_deathrun_scary,  techset,techset,wc_tools,2.6,2.6
33,mp_deathrun_scary,  gfx_map,gfx_map,maps/mp/mp_deathrun_scary.d3dbsp,12049.4,12055.3
34,mp_deathrun_scary,    map_ents,map_ents,maps/mp/mp_deathrun_scary.d3dbsp,5.1,5.1
35,mp_deathrun_scary,  col_map_sp,col_map_sp,maps/mp/mp_deathrun_scary.d3dbsp,114.7,119.8
36,mp_deathrun_scary,  rawfile,rawfile,maps/mp/mp_deathrun_scary.gsc,5.1,5.1
37,mp_deathrun_scary,  impactfx,impactfx,,1.5,1.5
38,mp_deathrun_scary,  sound,sound,artillery_explosion,1.2,1.2
39,mp_deathrun_scary,  sound,sound,elm_metal_rattle,1.2,1.2
40,mp_deathrun_scary,  sound,sound,mortar_incoming,1.6,1.6
41,mp_deathrun_scary,  sound,sound,generic_death_arab_4,1.1,1.1
42,mp_deathrun_scary,  rawfile,rawfile,codescripts/character.gsc,5.0,5.0
43,mp_deathrun_scary,  rawfile,rawfile,common_scripts/utility.gsc,25.6,25.6
44,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_ac130.gsc,5.1,5.1
45,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_art.gsc,24.9,24.9
46,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_compass.gsc,2.3,2.3
47,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_createfx.gsc,41.4,41.4
48,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_createfxmenu.gsc,12.3,12.3
49,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_destructables.gsc,2.2,2.2
50,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_destructible.gsc,46.6,46.6
51,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_destructible_types.gsc,64.4,64.4
52,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_entityheadicons.gsc,5.2,5.2
53,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_flashgrenades.gsc,3.0,3.0
54,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_fx.gsc,18.3,18.3
55,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_global_fx.gsc,3.0,3.0
56,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_helicopter.gsc,43.8,43.8
57,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_load.gsc,18.4,18.4
58,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_shutter.gsc,4.8,4.8
59,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_teargrenades.gsc,4.3,4.3
60,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_utility.gsc,20.3,20.3
61,mp_deathrun_scary,  rawfile,rawfile,maps/mp/_explosive_barrels.gsc,10.9,10.9
62,mp_deathrun_scary,  rawfile,rawfile,maps/_80s_hatch1.gsc,2.1,2.1
63,mp_deathrun_scary,  rawfile,rawfile,maps/_80s_sedan1.gsc,1.8,1.8
64,mp_deathrun_scary,  rawfile,rawfile,maps/_80s_wagon1.gsc,2.2,2.2
65,mp_deathrun_scary,  rawfile,rawfile,maps/_ac130.gsc,53.0,53.0
66,mp_deathrun_scary,  rawfile,rawfile,maps/_ambient.gsc,15.4,15.4
67,mp_deathrun_scary,  rawfile,rawfile,maps/_anim.gsc,76.6,76.6
68,mp_deathrun_scary,  rawfile,rawfile,maps/_animatedmodels.gsc,6.8,6.8
69,mp_deathrun_scary,  rawfile,rawfile,maps/_arcademode.gsc,60.6,60.6
70,mp_deathrun_scary,  rawfile,rawfile,maps/_art.gsc,24.7,24.7
71,mp_deathrun_scary,  rawfile,rawfile,maps/_astar.gsc,8.2,8.2
72,mp_deathrun_scary,  rawfile,rawfile,maps/_autosave.gsc,10.8,10.8
73,mp_deathrun_scary,  rawfile,rawfile,maps/_blackhawk.gsc,8.9,8.9
74,mp_deathrun_scary,  rawfile,rawfile,maps/_bm21.gsc,4.6,4.6
75,mp_deathrun_scary,  rawfile,rawfile,maps/_bm21_troops.gsc,9.2,9.2
76,mp_deathrun_scary,  rawfile,rawfile,maps/_bmp.gsc,3.3,3.3
77,mp_deathrun_scary,  rawfile,rawfile,maps/_breach.gsc,28.1,28.1
78,mp_deathrun_scary,  rawfile,rawfile,maps/_briefing.gsc,7.4,7.4
79,mp_deathrun_scary,  rawfile,rawfile,maps/_cheat.gsc,13.9,13.9
80,mp_deathrun_scary,  rawfile,rawfile,maps/_cobra.gsc,2.9,2.9
81,mp_deathrun_scary,  rawfile,rawfile,maps/_cobrapilot.gsc,76.0,76.0
82,mp_deathrun_scary,  rawfile,rawfile,maps/_colors.gsc,42.6,42.6
83,mp_deathrun_scary,  rawfile,rawfile,maps/_compass.gsc,2.3,2.3
84,mp_deathrun_scary,  rawfile,rawfile,maps/_createfx.gsc,42.0,42.0
85,mp_deathrun_scary,  rawfile,rawfile,maps/_createfxmenu.gsc,13.0,13.0
86,mp_deathrun_scary,  rawfile,rawfile,maps/_createpath.gsc,15.5,15.5
87,mp_deathrun_scary,  rawfile,rawfile,maps/_damagefeedback.gsc,1.1,1.1
