index,zone,type,type,name,usage(KB),total(KB)
1,mp_dr_example,  techset,techset,sm2/wc_l_sm_r0c0n0,20.9,20.9
2,mp_dr_example,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_dr_example,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,mp_dr_example,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,mp_dr_example,  techset,techset,wc_l_sm_r0c0n0,27.9,27.9
6,mp_dr_example,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,mp_dr_example,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
8,mp_dr_example,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
9,mp_dr_example,  gfx_map,gfx_map,maps/mp/mp_dr_example.d3dbsp,2417.1,2418.1
10,mp_dr_example,    map_ents,map_ents,maps/mp/mp_dr_example.d3dbsp,2.5,2.5
11,mp_dr_example,  col_map_sp,col_map_sp,maps/mp/mp_dr_example.d3dbsp,12.8,15.3
12,mp_dr_example,  impactfx,impactfx,,1.6,1.6
13,mp_dr_example,  sound,sound,artillery_explosion,1.2,1.2
14,mp_dr_example,  sound,sound,elm_metal_rattle,1.2,1.2
15,mp_dr_example,  sound,sound,mortar_incoming,1.6,1.6
16,mp_dr_example,  sound,sound,generic_death_arab_4,1.1,1.1
17,mp_dr_example,assetlist,assetlist,,2.7,2602.1
18,mp_dr_example,techset,techset,(misc),1.1,1.1
19,mp_dr_example,sound,sound,(misc),35.5,35.5
20,mp_dr_example,loaded_sound,loaded_sound,(misc),2.5,2.5
21,mp_dr_example,fx,fx,(misc),3.1,3.1
