index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.5,3.5
2,  techset,techset,sm2/mc_l_t0c0n0s0,29.8,29.8
3,  techset,techset,sm2/mc_l_t0c0,17.1,17.1
4,  techset,techset,mc_l_t0c0n0s0,33.9,33.9
5,  techset,techset,mc_l_t0c0,17.0,17.0
6,  techset,techset,mc_l_t0c0s0,19.5,19.5
7,  techset,techset,mc_l_t0c0n0,17.3,17.3
8,  techset,techset,sm2/mc_l_r0c0n0s0,15.5,15.5
9,  techset,techset,sm2/mc_l_r0c0,9.7,9.7
10,  techset,techset,mc_l_r0c0n0s0,19.2,19.2
11,  techset,techset,mc_l_r0c0,9.3,9.3
12,  techset,techset,mc_l_r0c0s0,12.3,12.3
13,  techset,techset,mc_l_r0c0n0,9.2,9.2
14,  xmodel,xmodel,foliage_tree_palm_bushy_1,221.8,222.2
15,  xmodel,xmodel,vehicle_pickup_destroyed_static,866.1,866.5
16,  techset,techset,sm2/mc_l_sm_r0c0d0n0s0,20.1,20.1
17,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,18.2,18.2
18,  techset,techset,mc_l_sm_r0c0d0n0s0,42.8,42.8
19,  techset,techset,mc_l_sm_r0c0d0n0,28.7,28.7
20,  techset,techset,mc_l_hsm_r0c0d0n0,20.8,20.8
21,  techset,techset,mc_l_hsm_r0c0d0n0s0,21.9,21.9
22,  xmodel,xmodel,wetwork_grave1,19.7,20.3
23,  techset,techset,sm2/mc_l_sm_t0c0n0s0,3.8,3.8
24,  techset,techset,sm2/mc_l_hsm_t0c0n0,11.4,11.4
25,  techset,techset,mc_l_sm_t0c0n0s0,18.1,18.1
26,  techset,techset,mc_l_sm_t0c0n0,12.5,12.5
27,  techset,techset,mc_l_hsm_t0c0n0,13.8,13.8
28,  techset,techset,mc_l_hsm_t0c0n0s0,16.2,16.2
29,  xmodel,xmodel,com_potted_plant02,43.2,43.5
30,  techset,techset,sm2/mc_ambient_t0c0,10.2,10.2
31,  techset,techset,mc_ambient_t0c0,10.2,10.2
32,  xmodel,xmodel,foliage_litegrass_triclump,1.2,1.3
33,  xmodel,xmodel,foliage_grass_triangularclumpshort,1.1,1.3
34,  xmodel,xmodel,ch_crate64x64,33.0,33.3
35,  xmodel,xmodel,ch_crate24x36,59.3,59.3
36,  xmodel,xmodel,ch_crate32x48,59.8,59.8
37,  xmodel,xmodel,ch_crate48x64,62.3,62.3
38,  xmodel,xmodel,4gf_logo,515.1,515.6
39,  xmodel,xmodel,com_hatchet,17.3,17.6
40,  xmodel,xmodel,shadow_foliage_tree_desertpalm02_sdummy,10.0,10.4
41,  techset,techset,sm2/wc_l_sm_r0c0,12.9,12.9
42,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
43,  techset,techset,wc_l_sm_r0c0,19.6,19.6
44,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
45,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
46,  techset,techset,wc_unlit_multiply,1.8,1.8
47,  techset,techset,sm2/wc_l_sm_t0c0n0s0,14.1,14.1
48,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
49,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
50,  techset,techset,sm2/wc_l_hsm_t0c0n0,8.4,8.4
51,  techset,techset,wc_l_sm_t0c0n0s0,26.1,26.1
52,  techset,techset,wc_l_sm_t0c0,11.8,11.8
53,  techset,techset,wc_l_sm_t0c0s0,18.7,18.7
54,  techset,techset,wc_l_sm_t0c0n0,16.9,16.9
55,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
56,  techset,techset,wc_l_hsm_t0c0s0,9.5,9.5
57,  techset,techset,wc_l_hsm_t0c0n0,9.9,9.9
58,  techset,techset,wc_l_hsm_t0c0n0s0,10.7,10.7
59,  techset,techset,sm2/wc_distortion_scale_zfeather,2.0,2.0
60,  techset,techset,sm2/wc_distortion_scale,1.6,1.6
61,  techset,techset,wc_distortion_scale_zfeather,1.8,1.8
62,  techset,techset,wc_distortion_scale,1.6,1.6
63,  gfx_map,gfx_map,maps/mp/mp_dr_indipyramid.d3dbsp,8475.4,8479.1
64,    map_ents,map_ents,maps/mp/mp_dr_indipyramid.d3dbsp,16.1,16.1
65,  col_map_sp,col_map_sp,maps/mp/mp_dr_indipyramid.d3dbsp,875.9,892.0
66,  impactfx,impactfx,,1.6,1.6
67,  fx,fx,fire/firelp_barrel_pm,4.9,5.0
68,  fx,fx,dust/dust_spiral01,3.1,3.1
69,  sound,sound,artillery_explosion,1.2,1.2
70,  sound,sound,elm_metal_rattle,1.2,1.2
71,  sound,sound,mortar_incoming,1.6,1.6
72,  sound,sound,generic_death_arab_4,1.1,1.1
