index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
2,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
6,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
8,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
9,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
10,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
11,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
12,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
13,  techset,techset,sm2/wc_distortion_scale_zfeather,2.6,2.6
14,  techset,techset,sm2/wc_distortion_scale,1.6,1.6
15,  techset,techset,wc_distortion_scale_zfeather,2.5,2.5
16,  techset,techset,wc_distortion_scale,1.6,1.6
17,  gfx_map,gfx_map,maps/mp/mp_dr_skylexxx.d3dbsp,2582.4,2583.9
18,    map_ents,map_ents,maps/mp/mp_dr_skylexxx.d3dbsp,6.2,6.2
19,  col_map_sp,col_map_sp,maps/mp/mp_dr_skylexxx.d3dbsp,465.9,472.1
20,  impactfx,impactfx,,1.6,1.6
21,  sound,sound,artillery_explosion,1.2,1.2
22,  sound,sound,elm_metal_rattle,1.2,1.2
23,  sound,sound,mortar_incoming,1.6,1.6
24,  sound,sound,generic_death_arab_4,1.1,1.1
25,assetlist,assetlist,,2.8,3293.1
26,material,material,(misc),1.0,1.0
27,techset,techset,(misc),2.6,2.6
28,sound,sound,(misc),35.5,35.5
29,loaded_sound,loaded_sound,(misc),2.5,2.5
30,fx,fx,(misc),3.1,3.1
