index,type,type,name,usage(KB),total(KB)
1,  string,string,,5.1,5.1
2,  xmodel,xmodel,body_complete_mp_spetsnaz_yuri,449.5,450.6
3,  xmodel,xmodel,4gf_logo,515.3,515.8
4,  xmodel,xmodel,sgc_base_test,1573.6,1575.0
5,  xmodel,xmodel,sgc_ring,184.4,184.6
6,  xmodel,xmodel,sgc_dhd,327.1,328.2
7,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
8,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
9,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
10,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
11,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
12,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
13,  xmodel,xmodel,ch_haycart,290.6,290.9
14,  xmodel,xmodel,vehicle_t72_tank_d_woodland_animated_sequence,332.2,332.9
15,  xmodel,xmodel,4gf_sgc_rings,152.6,152.8
16,  xmodel,xmodel,4gf_laser_emitor,70.7,70.9
17,  xmodel,xmodel,com_plasticcase_beige_big,327.9,328.2
18,  xmodel,xmodel,com_bomb_objective_d,412.6,413.4
19,  xmodel,xmodel,com_bomb_objective,525.0,525.8
20,  xmodel,xmodel,4gf_sgc_dhd,777.7,778.2
21,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
22,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
23,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
24,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
25,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
26,  techset,techset,wc_l_sm_r0c0,18.2,18.2
27,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
28,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
29,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
30,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
31,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
32,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
33,  gfx_map,gfx_map,maps/mp/mp_edora.d3dbsp,4155.8,4158.2
34,    map_ents,map_ents,maps/mp/mp_edora.d3dbsp,13.2,13.2
35,  col_map_sp,col_map_sp,maps/mp/mp_edora.d3dbsp,567.0,580.2
36,  rawfile,rawfile,maps/mp/mp_edora.gsc,8.4,8.4
37,  impactfx,impactfx,,1.5,1.5
38,  sound,sound,artillery_explosion,1.2,1.2
39,  sound,sound,elm_metal_rattle,1.2,1.2
40,  sound,sound,mortar_incoming,1.6,1.6
41,  sound,sound,generic_death_arab_4,1.1,1.1
42,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
43,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
44,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
45,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,181.7,182.0
46,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
47,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
48,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
49,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
50,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
51,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
52,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
53,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
54,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
55,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
56,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
57,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
58,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
59,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
60,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
61,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
62,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
63,  rawfile,rawfile,maps/mp/_rings.gsc,6.2,6.2
64,  rawfile,rawfile,maps/mp/rings.gsc,6.2,6.2
65,  fx,fx,misc/laser,1.6,1.6
66,  fx,fx,smoke/flare_smoke,1.4,1.4
67,  fx,fx,misc/flare,5.7,5.8
68,  xmodel,xmodel,body_mp_usmc_engineer,592.7,594.1
69,assetlist,assetlist,,3.3,17319.8
70,material,material,(misc),12.2,12.2
71,techset,techset,(misc),4.4,4.4
72,image,image,(misc),5.5,5.5
73,sound,sound,(misc),35.5,35.5
74,loaded_sound,loaded_sound,(misc),2.5,2.5
75,fx,fx,(misc),3.1,3.1
