index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,4gf_street_lamp,34.1,34.4
2,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,  xmodel,xmodel,4gf_fern,17.2,17.5
9,  techset,techset,sm2/mc_l_sm_b0c0d0n0s0,18.7,18.7
10,  techset,techset,sm2/mc_l_sm_b0c0d0,24.8,24.8
11,  techset,techset,sm2/mc_l_hsm_b0c0d0,16.3,16.3
12,  techset,techset,sm2/mc_l_hsm_b0c0d0n0,12.6,12.6
13,  techset,techset,mc_l_sm_b0c0d0n0s0,39.5,39.5
14,  techset,techset,mc_l_sm_b0c0d0,38.4,38.4
15,  techset,techset,mc_l_sm_b0c0d0s0,42.9,42.9
16,  techset,techset,mc_l_sm_b0c0d0n0,25.0,25.0
17,  techset,techset,mc_l_hsm_b0c0d0,19.2,19.2
18,  techset,techset,mc_l_hsm_b0c0d0s0,21.1,21.1
19,  techset,techset,mc_l_hsm_b0c0d0n0,15.1,15.1
20,  techset,techset,mc_l_hsm_b0c0d0n0s0,17.7,17.7
21,  xmodel,xmodel,4gf_evase,1474.6,1475.3
22,  xmodel,xmodel,4gf_violet_tree,442.7,442.9
23,  xmodel,xmodel,4gf_dragon_crystal_2,1842.1,1842.1
24,  xmodel,xmodel,4gf_wood_barrel,125.9,126.2
25,  xmodel,xmodel,4gf_shield1,20.6,20.8
26,  xmodel,xmodel,4gf_shield2,11.1,11.3
27,  techset,techset,sm2/wc_l_sm_r0c0n0,19.3,19.3
28,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
29,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
30,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
31,  techset,techset,wc_l_sm_r0c0n0,26.8,26.8
32,  techset,techset,wc_l_sm_r0c0,18.2,18.2
33,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
34,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
35,  techset,techset,wc_l_sm_r0c0n0s0,20.9,20.9
36,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
37,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
38,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
39,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
40,  techset,techset,wc_unlit_multiply,1.8,1.8
41,  gfx_map,gfx_map,maps/mp/mp_escape_123.d3dbsp,12611.1,12615.3
42,    map_ents,map_ents,maps/mp/mp_escape_123.d3dbsp,22.0,22.0
43,  col_map_sp,col_map_sp,maps/mp/mp_escape_123.d3dbsp,373.9,395.9
44,  rawfile,rawfile,maps/mp/mp_escape_123.gsc,1.7,1.7
45,  impactfx,impactfx,,1.5,1.5
46,  sound,sound,artillery_explosion,1.2,1.2
47,  sound,sound,elm_metal_rattle,1.2,1.2
48,  sound,sound,mortar_incoming,1.6,1.6
49,  sound,sound,generic_death_arab_4,1.1,1.1
50,  fx,fx,fire/4gf_street_lamp,1.4,1.4
51,  fx,fx,fire/4gf_evase,2.2,2.2
52,  techset,techset,sm2/effect_add_nofog_eyeoffset,1.2,1.2
53,  techset,techset,effect_add_nofog_eyeoffset,1.1,1.1
54,  fx,fx,misc/4gf_violet_tree,2.9,3.1
55,  fx,fx,fire/4gf_lava,2.5,2.5
56,  fx,fx,misc/m_resp_b,2.9,3.1
57,assetlist,assetlist,,3.3,17709.9
58,material,material,(misc),4.6,4.6
59,techset,techset,(misc),3.2,3.2
60,image,image,(misc),2.0,2.0
61,sound,sound,(misc),35.5,35.5
62,loaded_sound,loaded_sound,(misc),2.5,2.5
63,fx,fx,(misc),3.1,3.1
