index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/wc_l_sm_r0c0n0,20.9,20.9
2,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,  techset,techset,wc_l_sm_r0c0n0,27.9,27.9
6,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
8,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
9,  techset,techset,wc_l_sm_r0c0n0s0,20.9,20.9
10,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
11,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
12,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
13,  gfx_map,gfx_map,maps/mp/mp_escape_bots.d3dbsp,3247.5,3248.3
14,  col_map_sp,col_map_sp,maps/mp/mp_escape_bots.d3dbsp,39.5,39.6
15,  impactfx,impactfx,,1.5,1.5
16,  sound,sound,artillery_explosion,1.2,1.2
17,  sound,sound,elm_metal_rattle,1.2,1.2
18,  sound,sound,mortar_incoming,1.6,1.6
19,  sound,sound,generic_death_arab_4,1.1,1.1
20,assetlist,assetlist,,2.7,3515.2
21,techset,techset,(misc),1.2,1.2
22,sound,sound,(misc),35.5,35.5
23,loaded_sound,loaded_sound,(misc),2.5,2.5
24,fx,fx,(misc),3.1,3.1
