index,zone,type,type,name,usage(KB),total(KB)
1,mp_escape_example_spawns,  techset,techset,sm2/wc_l_sm_r0c0n0,20.9,20.9
2,mp_escape_example_spawns,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_escape_example_spawns,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,mp_escape_example_spawns,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,mp_escape_example_spawns,  techset,techset,wc_l_sm_r0c0n0,27.9,27.9
6,mp_escape_example_spawns,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,mp_escape_example_spawns,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
8,mp_escape_example_spawns,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
9,mp_escape_example_spawns,  gfx_map,gfx_map,maps/mp/mp_escape_example_spawns.d3dbsp,303.2,303.6
10,mp_escape_example_spawns,    map_ents,map_ents,maps/mp/mp_escape_example_spawns.d3dbsp,3.6,3.6
11,mp_escape_example_spawns,  col_map_sp,col_map_sp,maps/mp/mp_escape_example_spawns.d3dbsp,5.7,9.4
12,mp_escape_example_spawns,  impactfx,impactfx,,1.5,1.5
13,mp_escape_example_spawns,  sound,sound,artillery_explosion,1.2,1.2
14,mp_escape_example_spawns,  sound,sound,elm_metal_rattle,1.2,1.2
15,mp_escape_example_spawns,  sound,sound,mortar_incoming,1.6,1.6
16,mp_escape_example_spawns,  sound,sound,generic_death_arab_4,1.1,1.1
17,mp_escape_example_spawns,assetlist,assetlist,,2.7,483.0
18,mp_escape_example_spawns,techset,techset,(misc),2.5,2.5
19,mp_escape_example_spawns,sound,sound,(misc),35.5,35.5
20,mp_escape_example_spawns,loaded_sound,loaded_sound,(misc),2.5,2.5
21,mp_escape_example_spawns,fx,fx,(misc),3.1,3.1
