index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,22.1,22.1
2,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
4,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
5,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
6,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
7,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
8,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
9,  techset,techset,wc_l_sm_r0c0d0n0s0,34.4,34.4
10,  techset,techset,wc_l_sm_r0c0,18.3,18.3
11,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
12,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
13,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
14,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
15,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
16,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
17,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
20,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
21,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
22,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
23,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
24,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
25,  techset,techset,sm2/wc_water,3.0,3.0
26,  techset,techset,wc_water,2.9,2.9
27,    material,material,wc/coup_water,48.2,48.2
28,  gfx_map,gfx_map,maps/mp/mp_escape_icecap.d3dbsp,2057.0,2107.8
29,    map_ents,map_ents,maps/mp/mp_escape_icecap.d3dbsp,2.6,2.6
30,  col_map_sp,col_map_sp,maps/mp/mp_escape_icecap.d3dbsp,1098.5,1101.1
31,  rawfile,rawfile,maps/mp/mp_escape_icecap.gsc,2.6,2.6
32,  impactfx,impactfx,,1.5,1.5
33,  sound,sound,artillery_explosion,1.2,1.2
34,  sound,sound,elm_metal_rattle,1.2,1.2
35,  sound,sound,mortar_incoming,1.6,1.6
36,  sound,sound,generic_death_arab_4,1.1,1.1
37,assetlist,assetlist,,2.9,3586.3
38,material,material,(misc),1.6,1.6
39,techset,techset,(misc),2.7,2.7
40,sound,sound,(misc),35.5,35.5
41,loaded_sound,loaded_sound,(misc),2.5,2.5
42,fx,fx,(misc),3.1,3.1
