index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.2,2.2
2,  xmodel,xmodel,escape_body_raam,293.9,294.1
3,  xmodel,xmodel,4gf_laser_emitor,70.7,71.2
4,  xmodel,xmodel,body_mp_sas_urban_assault,499.8,501.1
5,  xmodel,xmodel,icbm_mainframe,35.9,36.3
6,  xmodel,xmodel,icbm_electricpanel1,8.6,8.9
7,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
8,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
9,  techset,techset,wc_l_sm_r0c0,24.3,24.3
10,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
11,  techset,techset,sm2/wc_l_sm_t0c0n0s0,17.4,17.4
12,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
13,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
14,  techset,techset,sm2/wc_l_hsm_t0c0n0,9.9,9.9
15,  techset,techset,wc_l_sm_t0c0n0s0,30.7,30.7
16,  techset,techset,wc_l_sm_t0c0,13.4,13.4
17,  techset,techset,wc_l_sm_t0c0s0,18.7,18.7
18,  techset,techset,wc_l_sm_t0c0n0,16.9,16.9
19,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
20,  techset,techset,wc_l_hsm_t0c0s0,9.5,9.5
21,  techset,techset,wc_l_hsm_t0c0n0,11.4,11.4
22,  techset,techset,wc_l_hsm_t0c0n0s0,10.7,10.7
23,  gfx_map,gfx_map,maps/mp/mp_escape_lab.d3dbsp,920.6,922.5
24,  col_map_sp,col_map_sp,maps/mp/mp_escape_lab.d3dbsp,326.0,326.6
25,  impactfx,impactfx,,1.6,1.6
26,  sound,sound,artillery_explosion,1.2,1.2
27,  sound,sound,elm_metal_rattle,1.2,1.2
28,  sound,sound,mortar_incoming,1.6,1.6
29,  sound,sound,generic_death_arab_4,1.1,1.1
30,assetlist,assetlist,,2.9,2435.9
31,material,material,(misc),3.2,3.2
32,techset,techset,(misc),2.8,2.8
33,image,image,(misc),1.3,1.3
34,sound,sound,(misc),35.5,35.5
35,loaded_sound,loaded_sound,(misc),2.5,2.5
36,fx,fx,(misc),3.1,3.1
