index,zone,type,type,name,usage(KB),total(KB)
1,mp_escape_lab,  string,string,,2.2,2.2
2,mp_escape_lab,  xmodel,xmodel,escape_body_raam,293.9,294.1
3,mp_escape_lab,  xmodel,xmodel,4gf_laser_emitor,70.7,71.2
4,mp_escape_lab,  xmodel,xmodel,body_mp_sas_urban_assault,499.8,501.1
5,mp_escape_lab,  xmodel,xmodel,icbm_mainframe,35.9,36.3
6,mp_escape_lab,  xmodel,xmodel,icbm_electricpanel1,8.6,8.9
7,mp_escape_lab,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
8,mp_escape_lab,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
9,mp_escape_lab,  techset,techset,wc_l_sm_r0c0,24.3,24.3
10,mp_escape_lab,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
11,mp_escape_lab,  techset,techset,sm2/wc_l_sm_t0c0n0s0,17.4,17.4
12,mp_escape_lab,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
13,mp_escape_lab,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
14,mp_escape_lab,  techset,techset,sm2/wc_l_hsm_t0c0n0,9.9,9.9
15,mp_escape_lab,  techset,techset,wc_l_sm_t0c0n0s0,30.7,30.7
16,mp_escape_lab,  techset,techset,wc_l_sm_t0c0,13.4,13.4
17,mp_escape_lab,  techset,techset,wc_l_sm_t0c0s0,18.7,18.7
18,mp_escape_lab,  techset,techset,wc_l_sm_t0c0n0,16.9,16.9
19,mp_escape_lab,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
20,mp_escape_lab,  techset,techset,wc_l_hsm_t0c0s0,9.5,9.5
21,mp_escape_lab,  techset,techset,wc_l_hsm_t0c0n0,11.4,11.4
22,mp_escape_lab,  techset,techset,wc_l_hsm_t0c0n0s0,10.7,10.7
23,mp_escape_lab,  gfx_map,gfx_map,maps/mp/mp_escape_lab.d3dbsp,920.6,922.5
24,mp_escape_lab,  col_map_sp,col_map_sp,maps/mp/mp_escape_lab.d3dbsp,326.0,326.6
25,mp_escape_lab,  impactfx,impactfx,,1.6,1.6
26,mp_escape_lab,  sound,sound,artillery_explosion,1.2,1.2
27,mp_escape_lab,  sound,sound,elm_metal_rattle,1.2,1.2
28,mp_escape_lab,  sound,sound,mortar_incoming,1.6,1.6
29,mp_escape_lab,  sound,sound,generic_death_arab_4,1.1,1.1
30,mp_escape_lab,assetlist,assetlist,,2.9,2435.9
31,mp_escape_lab,material,material,(misc),3.2,3.2
32,mp_escape_lab,techset,techset,(misc),2.8,2.8
33,mp_escape_lab,image,image,(misc),1.3,1.3
34,mp_escape_lab,sound,sound,(misc),35.5,35.5
35,mp_escape_lab,loaded_sound,loaded_sound,(misc),2.5,2.5
36,mp_escape_lab,fx,fx,(misc),3.1,3.1
