index,type,type,name,usage(KB),total(KB)
1,  string,string,,1.7,1.7
2,  xmodel,xmodel,body_complete_sp_cobra_pilot_desert_velinda,566.1,567.7
3,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
4,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
5,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
6,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
7,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
8,  techset,techset,wc_l_sm_r0c0,18.2,18.2
9,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
10,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
11,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
12,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
13,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
14,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
15,  gfx_map,gfx_map,maps/mp/mp_escape_surv.d3dbsp,985.9,986.4
16,    map_ents,map_ents,maps/mp/mp_escape_surv.d3dbsp,3.0,3.0
17,  col_map_sp,col_map_sp,maps/mp/mp_escape_surv.d3dbsp,47.5,50.5
18,  impactfx,impactfx,,1.5,1.5
19,  sound,sound,artillery_explosion,1.2,1.2
20,  sound,sound,elm_metal_rattle,1.2,1.2
21,  sound,sound,mortar_incoming,1.6,1.6
22,  sound,sound,generic_death_arab_4,1.1,1.1
23,assetlist,assetlist,,2.8,1833.9
24,material,material,(misc),1.3,1.3
25,techset,techset,(misc),1.4,1.4
26,sound,sound,(misc),35.5,35.5
27,loaded_sound,loaded_sound,(misc),2.5,2.5
28,fx,fx,(misc),3.1,3.1
