index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,com_barrel_green_h,43.1,43.4
2,  xmodel,xmodel,4gf_laser_emitor,70.7,71.2
3,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
4,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
5,  techset,techset,wc_l_sm_r0c0,24.3,24.3
6,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
7,  techset,techset,sm2/wc_l_sm_r0c0n0,14.1,14.1
8,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
9,  techset,techset,wc_l_sm_r0c0n0,21.7,21.7
10,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
11,  techset,techset,wc_l_sm_r0c0n0s0,20.9,20.9
12,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
13,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
14,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
15,  gfx_map,gfx_map,maps/mp/mp_escape_vzor.d3dbsp,3345.0,3346.2
16,    map_ents,map_ents,maps/mp/mp_escape_vzor.d3dbsp,5.9,5.9
17,  col_map_sp,col_map_sp,maps/mp/mp_escape_vzor.d3dbsp,35.3,41.2
18,  impactfx,impactfx,,1.6,1.6
19,  sound,sound,artillery_explosion,1.2,1.2
20,  sound,sound,elm_metal_rattle,1.2,1.2
21,  sound,sound,mortar_incoming,1.6,1.6
22,  sound,sound,generic_death_arab_4,1.1,1.1
23,assetlist,assetlist,,2.8,3730.3
24,material,material,(misc),1.3,1.3
25,techset,techset,(misc),1.4,1.4
26,sound,sound,(misc),35.5,35.5
27,loaded_sound,loaded_sound,(misc),2.5,2.5
28,fx,fx,(misc),3.1,3.1
