index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.7,2.7
2,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
3,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
4,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
5,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
6,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
7,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
8,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
9,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
10,  xmodel,xmodel,com_lightbox_on,75.4,76.3
11,  xmodel,xmodel,com_propane_tank02,196.8,197.0
12,  xmodel,xmodel,com_railpipe_large_01,25.4,25.9
13,  xmodel,xmodel,com_gas_pipes02,96.3,96.5
14,  xmodel,xmodel,com_gas_pipes01,148.1,148.1
15,  xmodel,xmodel,com_folding_table,67.3,67.7
16,  xmodel,xmodel,com_barrel_black_rust,43.1,43.4
17,  xmodel,xmodel,com_barrel_green_rust,12.9,13.1
18,  xmodel,xmodel,com_barrel_white_rust,12.9,13.1
19,  xmodel,xmodel,com_barrel_blue_rust,12.9,13.1
20,  xmodel,xmodel,com_steel_ladder,41.6,41.9
21,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
22,  xmodel,xmodel,com_barrel_biohazard_rust,45.2,45.4
23,  xmodel,xmodel,icbm_electronic_cabinet1,3.5,3.8
24,  xmodel,xmodel,icbm_electronic_cabinet2,51.5,51.8
25,  xmodel,xmodel,icbm_electronic_cabinet3,121.1,121.4
26,  xmodel,xmodel,icbm_electronic_cabinet4,112.5,112.5
27,  xmodel,xmodel,icbm_electronic_cabinet5,145.5,145.5
28,  xmodel,xmodel,icbm_electronic_cabinet6,89.1,89.1
29,  xmodel,xmodel,icbm_electronic_cabinet7,133.6,133.6
30,  xmodel,xmodel,icbm_electronic_cabinet8,117.1,117.1
31,  xmodel,xmodel,com_electrical_transformer,38.6,38.9
32,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
33,  xmodel,xmodel,com_pallet_2,45.5,45.7
34,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
35,  xmodel,xmodel,com_outdoor_switch,4.1,4.4
36,  xmodel,xmodel,com_barrel_benzin,13.6,14.0
37,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.6,20.6
38,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
39,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
40,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
41,  techset,techset,wc_l_sm_r0c0n0s0,32.5,32.5
42,  techset,techset,wc_l_sm_r0c0,18.2,18.2
43,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
44,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
45,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
46,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
47,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
48,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
49,  techset,techset,sm2/wc_water,3.0,3.0
50,  techset,techset,wc_water,2.9,2.9
51,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.3,12.3
52,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
53,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
54,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
55,  techset,techset,wc_l_sm_t0c0n0s0,23.2,23.2
56,  techset,techset,wc_l_sm_t0c0,13.4,13.4
57,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
58,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
59,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
