index,zone,type,type,name,usage(KB),total(KB)
1,mp_gasworking,  string,string,,2.7,2.7
2,mp_gasworking,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
3,mp_gasworking,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
4,mp_gasworking,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
5,mp_gasworking,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
6,mp_gasworking,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
7,mp_gasworking,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
8,mp_gasworking,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
9,mp_gasworking,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
10,mp_gasworking,  xmodel,xmodel,com_lightbox_on,75.4,76.3
11,mp_gasworking,  xmodel,xmodel,com_propane_tank02,196.8,197.0
12,mp_gasworking,  xmodel,xmodel,com_railpipe_large_01,25.4,25.9
13,mp_gasworking,  xmodel,xmodel,com_gas_pipes02,96.3,96.5
14,mp_gasworking,  xmodel,xmodel,com_gas_pipes01,148.1,148.1
15,mp_gasworking,  xmodel,xmodel,com_folding_table,67.3,67.7
16,mp_gasworking,  xmodel,xmodel,com_barrel_black_rust,43.1,43.4
17,mp_gasworking,  xmodel,xmodel,com_barrel_green_rust,12.9,13.1
18,mp_gasworking,  xmodel,xmodel,com_barrel_white_rust,12.9,13.1
19,mp_gasworking,  xmodel,xmodel,com_barrel_blue_rust,12.9,13.1
20,mp_gasworking,  xmodel,xmodel,com_steel_ladder,41.6,41.9
21,mp_gasworking,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
22,mp_gasworking,  xmodel,xmodel,com_barrel_biohazard_rust,45.2,45.4
23,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet1,3.5,3.8
24,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet2,51.5,51.8
25,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet3,121.1,121.4
26,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet4,112.5,112.5
27,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet5,145.5,145.5
28,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet6,89.1,89.1
29,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet7,133.6,133.6
30,mp_gasworking,  xmodel,xmodel,icbm_electronic_cabinet8,117.1,117.1
31,mp_gasworking,  xmodel,xmodel,com_electrical_transformer,38.6,38.9
32,mp_gasworking,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
33,mp_gasworking,  xmodel,xmodel,com_pallet_2,45.5,45.7
34,mp_gasworking,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
35,mp_gasworking,  xmodel,xmodel,com_outdoor_switch,4.1,4.4
36,mp_gasworking,  xmodel,xmodel,com_barrel_benzin,13.6,14.0
37,mp_gasworking,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.6,20.6
38,mp_gasworking,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
39,mp_gasworking,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
40,mp_gasworking,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
41,mp_gasworking,  techset,techset,wc_l_sm_r0c0n0s0,32.5,32.5
42,mp_gasworking,  techset,techset,wc_l_sm_r0c0,18.2,18.2
43,mp_gasworking,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
44,mp_gasworking,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
45,mp_gasworking,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
46,mp_gasworking,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
47,mp_gasworking,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
48,mp_gasworking,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
49,mp_gasworking,  techset,techset,sm2/wc_water,3.0,3.0
50,mp_gasworking,  techset,techset,wc_water,2.9,2.9
51,mp_gasworking,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.3,12.3
52,mp_gasworking,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
53,mp_gasworking,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
54,mp_gasworking,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
55,mp_gasworking,  techset,techset,wc_l_sm_t0c0n0s0,23.2,23.2
56,mp_gasworking,  techset,techset,wc_l_sm_t0c0,13.4,13.4
57,mp_gasworking,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
58,mp_gasworking,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
59,mp_gasworking,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
60,mp_gasworking,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
61,mp_gasworking,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
62,mp_gasworking,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
63,mp_gasworking,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
64,mp_gasworking,  techset,techset,wc_unlit_multiply,1.8,1.8
65,mp_gasworking,    material,material,wc/chernobyl_water,48.2,48.2
66,mp_gasworking,  gfx_map,gfx_map,maps/mp/mp_gasworking.d3dbsp,2710.4,2763.2
67,mp_gasworking,    map_ents,map_ents,maps/mp/mp_gasworking.d3dbsp,55.4,55.4
68,mp_gasworking,  col_map_sp,col_map_sp,maps/mp/mp_gasworking.d3dbsp,602.2,657.6
69,mp_gasworking,  impactfx,impactfx,,1.6,1.6
70,mp_gasworking,  sound,sound,artillery_explosion,1.2,1.2
71,mp_gasworking,  sound,sound,elm_metal_rattle,1.2,1.2
72,mp_gasworking,  sound,sound,mortar_incoming,1.6,1.6
73,mp_gasworking,  sound,sound,generic_death_arab_4,1.1,1.1
74,mp_gasworking,  rawfile,rawfile,maps/mp/mp_gasworking_ele.gsc,2.5,2.5
75,mp_gasworking,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
76,mp_gasworking,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
77,mp_gasworking,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
78,mp_gasworking,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
79,mp_gasworking,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
80,mp_gasworking,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
81,mp_gasworking,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
82,mp_gasworking,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
83,mp_gasworking,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
84,mp_gasworking,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
85,mp_gasworking,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
86,mp_gasworking,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
87,mp_gasworking,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
88,mp_gasworking,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
89,mp_gasworking,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
90,mp_gasworking,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
