index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.5,2.5
2,  xmodel,xmodel,bc_hesco_barrier_big,16.1,16.7
3,  techset,techset,sm2/mc_l_t0c0n0s0,29.8,29.8
4,  techset,techset,sm2/mc_l_t0c0,17.1,17.1
5,  techset,techset,mc_l_t0c0n0s0,33.9,33.9
6,  techset,techset,mc_l_t0c0,17.0,17.0
7,  techset,techset,mc_l_t0c0s0,19.5,19.5
8,  techset,techset,mc_l_t0c0n0,17.3,17.3
9,  techset,techset,sm2/mc_l_r0c0n0s0,15.5,15.5
10,  techset,techset,sm2/mc_l_r0c0,9.7,9.7
11,  techset,techset,mc_l_r0c0n0s0,19.2,19.2
12,  techset,techset,mc_l_r0c0,9.3,9.3
13,  techset,techset,mc_l_r0c0s0,12.3,12.3
14,  techset,techset,mc_l_r0c0n0,9.2,9.2
15,  xmodel,xmodel,foliage_tree_palm_bushy_3,226.6,227.0
16,  techset,techset,sm2/wc_l_sm_r0c0n0s0,14.9,14.9
17,  techset,techset,sm2/wc_l_sm_r0c0,10.0,10.0
18,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
19,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
20,  techset,techset,wc_l_sm_r0c0n0s0,27.5,27.5
21,  techset,techset,wc_l_sm_r0c0,16.8,16.8
22,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
23,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
24,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
25,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
26,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
27,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
28,  techset,techset,sm2/wc_water,3.0,3.0
29,  techset,techset,wc_water,2.9,2.9
30,    material,material,wc/armada_water,48.2,48.2
31,  gfx_map,gfx_map,maps/mp/mp_gizajump.d3dbsp,533.3,583.0
32,    map_ents,map_ents,maps/mp/mp_gizajump.d3dbsp,29.1,29.1
33,  col_map_sp,col_map_sp,maps/mp/mp_gizajump.d3dbsp,330.5,359.5
34,  impactfx,impactfx,,1.6,1.6
35,  sound,sound,artillery_explosion,1.2,1.2
36,  sound,sound,elm_metal_rattle,1.2,1.2
37,  sound,sound,mortar_incoming,1.6,1.6
38,  sound,sound,generic_death_arab_4,1.1,1.1
39,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
40,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
41,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
42,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
43,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
44,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
45,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
46,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
47,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
48,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
49,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
50,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
51,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
52,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
53,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
54,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
55,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
56,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
57,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
58,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
59,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
60,assetlist,assetlist,,3.1,7208.5
61,material,material,(misc),5.9,5.9
62,techset,techset,(misc),2.9,2.9
63,image,image,(misc),2.7,2.7
64,sound,sound,(misc),35.5,35.5
65,loaded_sound,loaded_sound,(misc),2.5,2.5
66,fx,fx,(misc),3.1,3.1
