index,zone,type,type,name,usage(KB),total(KB)
1,mp_hatak2,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,22.1,22.1
2,mp_hatak2,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_hatak2,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
4,mp_hatak2,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
5,mp_hatak2,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
6,mp_hatak2,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
7,mp_hatak2,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
8,mp_hatak2,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
9,mp_hatak2,  techset,techset,wc_l_sm_r0c0d0n0s0,34.4,34.4
10,mp_hatak2,  techset,techset,wc_l_sm_r0c0,18.3,18.3
11,mp_hatak2,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
12,mp_hatak2,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
13,mp_hatak2,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
14,mp_hatak2,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
15,mp_hatak2,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
16,mp_hatak2,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
17,mp_hatak2,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,mp_hatak2,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,mp_hatak2,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
20,mp_hatak2,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
21,mp_hatak2,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
22,mp_hatak2,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
23,mp_hatak2,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
24,mp_hatak2,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
25,mp_hatak2,  gfx_map,gfx_map,maps/mp/mp_hatak2.d3dbsp,1345.5,1346.0
26,mp_hatak2,  col_map_sp,col_map_sp,maps/mp/mp_hatak2.d3dbsp,907.0,907.6
27,mp_hatak2,  rawfile,rawfile,maps/mp/mp_hatak2.gsc,1.1,1.1
28,mp_hatak2,  impactfx,impactfx,,1.5,1.5
29,mp_hatak2,  sound,sound,artillery_explosion,1.2,1.2
30,mp_hatak2,  sound,sound,elm_metal_rattle,1.2,1.2
31,mp_hatak2,  sound,sound,mortar_incoming,1.6,1.6
32,mp_hatak2,  sound,sound,generic_death_arab_4,1.1,1.1
33,mp_hatak2,assetlist,assetlist,,2.9,2622.6
34,mp_hatak2,techset,techset,(misc),2.1,2.1
35,mp_hatak2,sound,sound,(misc),35.5,35.5
36,mp_hatak2,loaded_sound,loaded_sound,(misc),2.5,2.5
37,mp_hatak2,fx,fx,(misc),3.1,3.1
