index,zone,type,type,name,usage(KB),total(KB)
1,mp_hhatak,  string,string,,3.1,3.1
2,mp_hhatak,  xmodel,xmodel,4gf_sgc_rings,152.6,152.8
3,mp_hhatak,  xmodel,xmodel,sgc_props_1,208.6,208.9
4,mp_hhatak,  xmodel,xmodel,sgc_props_2,65.6,65.6
5,mp_hhatak,  xmodel,xmodel,sgc_props_13,29.5,29.5
6,mp_hhatak,  xmodel,xmodel,sgc_props_16,246.3,246.3
7,mp_hhatak,  xmodel,xmodel,sgc_props_23,185.4,185.4
8,mp_hhatak,  xmodel,xmodel,sgc_props_24,67.2,67.2
9,mp_hhatak,  xmodel,xmodel,sgc_props_15,99.5,99.5
10,mp_hhatak,  xmodel,xmodel,sgc_models_2,33.6,34.1
11,mp_hhatak,  xmodel,xmodel,sgc_models_1,9.6,9.7
12,mp_hhatak,  xmodel,xmodel,sgc_models_3,18.5,18.5
13,mp_hhatak,  xmodel,xmodel,4gf_logo,515.1,515.6
14,mp_hhatak,  xmodel,xmodel,sgc_props_18,10.3,10.3
15,mp_hhatak,  xmodel,xmodel,sgc_table,6.3,6.5
16,mp_hhatak,  xmodel,xmodel,sgc_gen_chair,44.4,44.5
17,mp_hhatak,  xmodel,xmodel,sgc_gen_dresser_1,70.4,70.8
18,mp_hhatak,  xmodel,xmodel,sgc_gen_dresser_2,86.6,86.6
19,mp_hhatak,  xmodel,xmodel,sgc_gen_cabinet,90.3,90.5
20,mp_hhatak,  xmodel,xmodel,sgc_plotter,14.5,14.7
21,mp_hhatak,  xmodel,xmodel,sgc_logo,75.0,75.2
22,mp_hhatak,  xmodel,xmodel,sgc_ramp,485.2,486.1
23,mp_hhatak,  xmodel,xmodel,sgc_scanner,21.2,21.5
24,mp_hhatak,  xmodel,xmodel,4gf_sgc_gate,1599.1,1600.5
25,mp_hhatak,  xmodel,xmodel,4gf_sgc_ring,320.2,320.4
26,mp_hhatak,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
27,mp_hhatak,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
28,mp_hhatak,  techset,techset,wc_l_sm_r0c0,24.3,24.3
29,mp_hhatak,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
30,mp_hhatak,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,15.3,15.3
31,mp_hhatak,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
32,mp_hhatak,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
33,mp_hhatak,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
34,mp_hhatak,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
35,mp_hhatak,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
36,mp_hhatak,  techset,techset,wc_l_sm_r0c0d0n0s0,28.3,28.3
37,mp_hhatak,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
38,mp_hhatak,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
39,mp_hhatak,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
40,mp_hhatak,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
41,mp_hhatak,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
42,mp_hhatak,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
43,mp_hhatak,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
44,mp_hhatak,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
45,mp_hhatak,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
46,mp_hhatak,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
47,mp_hhatak,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
48,mp_hhatak,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
49,mp_hhatak,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
50,mp_hhatak,  techset,techset,sm2/wc_l_sm_a0c0,7.8,7.8
51,mp_hhatak,  techset,techset,sm2/wc_l_hsm_a0c0,5.7,5.7
52,mp_hhatak,  techset,techset,wc_l_sm_a0c0,12.8,12.8
53,mp_hhatak,  techset,techset,wc_l_hsm_a0c0,6.9,6.9
54,mp_hhatak,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
55,mp_hhatak,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
56,mp_hhatak,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
57,mp_hhatak,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
58,mp_hhatak,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
59,mp_hhatak,  techset,techset,wc_l_sm_t0c0,13.4,13.4
60,mp_hhatak,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
61,mp_hhatak,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
62,mp_hhatak,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
63,mp_hhatak,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
64,mp_hhatak,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
65,mp_hhatak,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
66,mp_hhatak,  gfx_map,gfx_map,maps/mp/mp_hhatak.d3dbsp,4829.0,4836.7
67,mp_hhatak,    map_ents,map_ents,maps/mp/mp_hhatak.d3dbsp,10.1,10.1
68,mp_hhatak,  col_map_sp,col_map_sp,maps/mp/mp_hhatak.d3dbsp,1151.9,1162.0
69,mp_hhatak,  impactfx,impactfx,,1.6,1.6
70,mp_hhatak,  sound,sound,artillery_explosion,1.2,1.2
71,mp_hhatak,  sound,sound,elm_metal_rattle,1.2,1.2
72,mp_hhatak,  sound,sound,mortar_incoming,1.6,1.6
73,mp_hhatak,  sound,sound,generic_death_arab_4,1.1,1.1
74,mp_hhatak,  rawfile,rawfile,maps/mp/_dvere_hatak.gsc,5.1,5.1
75,mp_hhatak,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
76,mp_hhatak,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
77,mp_hhatak,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
78,mp_hhatak,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
79,mp_hhatak,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
80,mp_hhatak,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
