index,type,type,name,usage(KB),total(KB)
1,  string,string,,4.6,4.6
2,  xmodel,xmodel,vehicle_bus2,1304.1,1304.8
3,  xmodel,xmodel,me_window_bars_01,23.7,24.0
4,  xmodel,xmodel,me_concrete_barrier,22.7,23.0
5,  xmodel,xmodel,vehicle_80s_wagon1_yel,499.1,499.6
6,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
7,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
8,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
9,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
10,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
11,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
12,  xmodel,xmodel,vehicle_uaz_hardtop,811.9,813.0
13,  xmodel,xmodel,vehicle_luxurysedan_static,890.7,891.6
14,  xmodel,xmodel,vehicle_pickup_technical,657.8,658.6
15,  xmodel,xmodel,vehicle_tanker_truck_civ,629.2,630.8
16,  xmodel,xmodel,vehicle_uaz_van,454.3,455.2
17,  xmodel,xmodel,vehicle_80s_wagon1_tan,163.3,163.5
18,  xmodel,xmodel,vehicle_80s_sedan1_brn,495.2,496.4
19,  xmodel,xmodel,com_doorknob1,22.1,22.3
20,  xmodel,xmodel,ap_table01,31.8,32.1
21,  xmodel,xmodel,com_cafe_chair2,44.5,44.9
22,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
23,  techset,techset,mc_ambient_t0c0,12.9,12.9
24,  xmodel,xmodel,foliage_red_pine_xl,380.6,381.1
25,  xmodel,xmodel,foliage_tree_river_birch_xl_a,362.9,363.2
26,  xmodel,xmodel,foliage_tree_grey_oak_lg_a,418.1,418.5
27,  xmodel,xmodel,foliage_tree_grey_oak_sm_a,30.7,30.7
28,  xmodel,xmodel,foliage_tree_grey_oak_xl_a,471.5,471.5
29,  xmodel,xmodel,foliage_red_pine_sm,50.5,50.5
30,  xmodel,xmodel,foliage_tree_grey_oak_med_a,407.8,407.8
31,  xmodel,xmodel,com_restaurantstovewithburner,163.7,164.0
32,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.3
33,  xmodel,xmodel,com_roofvent1,15.5,15.8
34,  xmodel,xmodel,com_restaurantkitchentable_2,41.1,41.3
35,  xmodel,xmodel,com_steel_ladder,41.6,41.9
36,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
37,  xmodel,xmodel,com_restaurantstainlessteelshelf_02,63.7,64.0
38,  xmodel,xmodel,com_restaurantceilinglamp_on,54.1,54.5
39,  xmodel,xmodel,com_metalbench,192.4,192.6
40,  xmodel,xmodel,foliage_red_pine_med,336.8,336.8
41,  xmodel,xmodel,foliage_bush_big,33.5,33.6
42,  techset,techset,sm2/mc_l_sm_r0c0d0n0,21.2,21.2
43,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,12.0,12.0
44,  techset,techset,mc_l_sm_r0c0d0n0,30.8,30.8
45,  techset,techset,mc_l_hsm_r0c0d0n0,14.3,14.3
46,  xmodel,xmodel,com_ladder_wood,16.7,16.9
47,  xmodel,xmodel,com_vending_can_new1,85.5,85.8
48,  xmodel,xmodel,com_french_sink2,97.4,97.9
49,  xmodel,xmodel,com_french_toiletbowl,31.0,31.3
50,  xmodel,xmodel,com_french_toiletseatcover,7.9,7.9
51,  xmodel,xmodel,ch_sign_restaurant,53.8,54.1
52,  xmodel,xmodel,prop_misc_rock_boulder_03,38.9,39.2
53,  xmodel,xmodel,com_prop_rail_wheeltrack,289.5,289.8
54,  xmodel,xmodel,com_prop_rail_woodboxcar_open,227.3,227.8
55,  xmodel,xmodel,com_prop_rail_fuelcar,281.1,281.8
56,  xmodel,xmodel,com_prop_rail_graincar,239.9,240.2
57,  xmodel,xmodel,com_prop_rail_woodboxcar_closed,254.6,254.6
58,  xmodel,xmodel,com_office_chair,30.5,30.6
59,  xmodel,xmodel,com_cafe_table1,21.3,21.7
60,  xmodel,xmodel,com_office_book_red_standing,17.1,17.4
61,  xmodel,xmodel,com_office_book_black_standing,18.1,18.1
62,  xmodel,xmodel,com_office_book_blue_standing,16.7,16.7
63,  xmodel,xmodel,com_office_book_set1,10.0,10.0
64,  xmodel,xmodel,com_office_book_shelf,15.8,16.1
65,  xmodel,xmodel,com_fire_extinguisher,48.3,48.6
66,  xmodel,xmodel,com_laptop_open,35.6,36.0
67,  xmodel,xmodel,com_bomb_objective,525.0,526.0
68,  xmodel,xmodel,com_bomb_objective_d,412.6,413.2
69,  techset,techset,sm2/wc_l_sm_r0c0n0s0,16.8,16.8
70,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
71,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
72,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
73,  techset,techset,wc_l_sm_r0c0n0s0,29.3,29.3
74,  techset,techset,wc_l_sm_r0c0,18.2,18.2
75,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
76,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
77,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
78,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
79,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
80,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
81,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
82,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
83,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
84,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
85,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
86,  techset,techset,wc_l_sm_t0c0,11.8,11.8
87,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
88,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
89,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
90,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
91,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
92,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
93,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
94,  techset,techset,wc_unlit_multiply,1.8,1.8
95,  gfx_map,gfx_map,maps/mp/mp_hlavna_stanica.d3dbsp,4253.0,4260.0
96,    map_ents,map_ents,maps/mp/mp_hlavna_stanica.d3dbsp,11.5,11.5
97,  col_map_sp,col_map_sp,maps/mp/mp_hlavna_stanica.d3dbsp,1160.8,1172.3
98,  impactfx,impactfx,,1.5,1.5
99,  sound,sound,artillery_explosion,1.2,1.2
100,  sound,sound,elm_metal_rattle,1.2,1.2
101,  sound,sound,mortar_incoming,1.6,1.6
