index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.6,2.6
2,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
4,  xmodel,xmodel,bathroom_toilet,78.7,79.3
5,  xmodel,xmodel,ap_airbus_seat_1,87.3,87.6
6,  xmodel,xmodel,com_computer_case,9.5,9.8
7,  xmodel,xmodel,com_computer_keyboard,12.9,13.2
8,  xmodel,xmodel,com_computer_monitor,23.9,23.9
9,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
10,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
11,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
12,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
13,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
14,  techset,techset,wc_l_sm_r0c0,18.2,18.2
15,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
16,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
17,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
20,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
21,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
22,  techset,techset,wc_unlit_multiply,1.8,1.8
23,  gfx_map,gfx_map,maps/mp/mp_jump_training.d3dbsp,1320.6,1322.9
24,  col_map_sp,col_map_sp,maps/mp/mp_jump_training.d3dbsp,479.7,480.3
25,  impactfx,impactfx,,1.5,1.5
26,  sound,sound,artillery_explosion,1.2,1.2
27,  sound,sound,elm_metal_rattle,1.2,1.2
28,  sound,sound,mortar_incoming,1.6,1.6
29,  sound,sound,generic_death_arab_4,1.1,1.1
30,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
31,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
32,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
33,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
34,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
35,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
36,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
37,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
38,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
39,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
40,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
41,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
42,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
43,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
44,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
45,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
46,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
47,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
48,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
49,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
50,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
51,assetlist,assetlist,,3.1,7920.3
52,material,material,(misc),6.5,6.5
53,techset,techset,(misc),4.9,4.9
54,image,image,(misc),3.7,3.7
55,sound,sound,(misc),35.5,35.5
56,loaded_sound,loaded_sound,(misc),2.5,2.5
57,fx,fx,(misc),3.1,3.1
