index,zone,type,type,name,usage(KB),total(KB)
1,mp_jump_training,  string,string,,2.6,2.6
2,mp_jump_training,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,mp_jump_training,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
4,mp_jump_training,  xmodel,xmodel,bathroom_toilet,78.7,79.3
5,mp_jump_training,  xmodel,xmodel,ap_airbus_seat_1,87.3,87.6
6,mp_jump_training,  xmodel,xmodel,com_computer_case,9.5,9.8
7,mp_jump_training,  xmodel,xmodel,com_computer_keyboard,12.9,13.2
8,mp_jump_training,  xmodel,xmodel,com_computer_monitor,23.9,23.9
9,mp_jump_training,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
10,mp_jump_training,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
11,mp_jump_training,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
12,mp_jump_training,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
13,mp_jump_training,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
14,mp_jump_training,  techset,techset,wc_l_sm_r0c0,18.2,18.2
15,mp_jump_training,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
16,mp_jump_training,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
17,mp_jump_training,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,mp_jump_training,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,mp_jump_training,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
20,mp_jump_training,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
21,mp_jump_training,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
22,mp_jump_training,  techset,techset,wc_unlit_multiply,1.8,1.8
23,mp_jump_training,  gfx_map,gfx_map,maps/mp/mp_jump_training.d3dbsp,1320.6,1322.9
24,mp_jump_training,  col_map_sp,col_map_sp,maps/mp/mp_jump_training.d3dbsp,479.7,480.3
25,mp_jump_training,  impactfx,impactfx,,1.5,1.5
26,mp_jump_training,  sound,sound,artillery_explosion,1.2,1.2
27,mp_jump_training,  sound,sound,elm_metal_rattle,1.2,1.2
28,mp_jump_training,  sound,sound,mortar_incoming,1.6,1.6
29,mp_jump_training,  sound,sound,generic_death_arab_4,1.1,1.1
30,mp_jump_training,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
31,mp_jump_training,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
32,mp_jump_training,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
33,mp_jump_training,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
34,mp_jump_training,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
35,mp_jump_training,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
36,mp_jump_training,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
37,mp_jump_training,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
38,mp_jump_training,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
39,mp_jump_training,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
40,mp_jump_training,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
41,mp_jump_training,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
42,mp_jump_training,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
43,mp_jump_training,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
44,mp_jump_training,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
45,mp_jump_training,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
46,mp_jump_training,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
47,mp_jump_training,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
48,mp_jump_training,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
49,mp_jump_training,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
50,mp_jump_training,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
51,mp_jump_training,assetlist,assetlist,,3.1,7920.3
52,mp_jump_training,material,material,(misc),6.5,6.5
53,mp_jump_training,techset,techset,(misc),4.9,4.9
54,mp_jump_training,image,image,(misc),3.7,3.7
55,mp_jump_training,sound,sound,(misc),35.5,35.5
56,mp_jump_training,loaded_sound,loaded_sound,(misc),2.5,2.5
57,mp_jump_training,fx,fx,(misc),3.1,3.1
