index,zone,type,type,name,usage(KB),total(KB)
1,mp_jumpercity,  string,string,,3.2,3.2
2,mp_jumpercity,  xmodel,xmodel,com_doorknob1,22.1,22.3
3,mp_jumpercity,  xmodel,xmodel,com_steel_ladder,41.6,41.9
4,mp_jumpercity,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
5,mp_jumpercity,  xmodel,xmodel,vehicle_80s_wagon1_brn,499.1,499.6
6,mp_jumpercity,  xmodel,xmodel,vehicle_ch46e_damaged_rear_piece,1263.5,1264.2
7,mp_jumpercity,  xmodel,xmodel,me_basket_wicker06,59.2,59.3
8,mp_jumpercity,  xmodel,xmodel,vehicle_bus_destructable,1280.1,1281.2
9,mp_jumpercity,  xmodel,xmodel,wetwork_house_vent,10.5,11.0
10,mp_jumpercity,  xmodel,xmodel,ap_airbus_seat_1,87.2,87.6
11,mp_jumpercity,  xmodel,xmodel,ap_table01,31.8,32.1
12,mp_jumpercity,  xmodel,xmodel,bathroom_tub,7.1,7.4
13,mp_jumpercity,  xmodel,xmodel,com_vending_can_new1_lit,85.6,85.9
14,mp_jumpercity,  xmodel,xmodel,com_dresser,14.6,14.9
15,mp_jumpercity,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
16,mp_jumpercity,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
17,mp_jumpercity,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
18,mp_jumpercity,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
19,mp_jumpercity,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
20,mp_jumpercity,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
21,mp_jumpercity,  xmodel,xmodel,ch_bedframemetal_gray,53.3,53.6
22,mp_jumpercity,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
23,mp_jumpercity,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
24,mp_jumpercity,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
25,mp_jumpercity,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
26,mp_jumpercity,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
27,mp_jumpercity,  techset,techset,wc_l_sm_r0c0,18.2,18.2
28,mp_jumpercity,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
29,mp_jumpercity,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
30,mp_jumpercity,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
31,mp_jumpercity,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
32,mp_jumpercity,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
33,mp_jumpercity,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
34,mp_jumpercity,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
