index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.0,3.0
2,  xmodel,xmodel,vehicle_luxurysedan_static,890.7,891.7
3,  techset,techset,sm2/mc_l_sm_t0c0n0,36.1,36.1
4,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
5,  techset,techset,mc_l_sm_t0c0n0,49.5,49.5
6,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,  xmodel,xmodel,foliage_red_pine_log_med,24.1,24.5
8,  techset,techset,sm2/mc_ambient_t0c0,13.1,13.1
9,  techset,techset,mc_ambient_t0c0,12.9,12.9
10,  xmodel,xmodel,foliage_red_pine_xl,380.6,381.1
11,  xmodel,xmodel,foliage_tree_grey_oak_med_a,407.8,408.1
12,  xmodel,xmodel,foliage_tree_grey_oak_sm_ts,30.7,30.7
13,  techset,techset,mc_l_sm_t0c0n0s0,44.2,44.2
14,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
15,  xmodel,xmodel,foliage_tree_river_birch_lg_b,286.2,286.6
16,  xmodel,xmodel,mil_sandbag_desert_curved,208.5,208.7
17,  xmodel,xmodel,com_plasticcase_bomb_open,144.6,145.1
18,  xmodel,xmodel,me_woodcrateclosed,33.7,33.9
19,  xmodel,xmodel,me_picture1,4.6,5.2
20,  techset,techset,sm2/mc_unlit_replace,1.4,1.4
21,  techset,techset,mc_unlit_replace,1.2,1.2
22,  xmodel,xmodel,com_laptop_open,35.6,36.0
23,  xmodel,xmodel,com_bomb_objective,516.9,517.4
24,  xmodel,xmodel,com_bomb_objective_d,412.6,413.2
25,  techset,techset,sm2/wc_l_sm_r0c0n0s0,18.0,18.0
26,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
27,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
28,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
29,  techset,techset,wc_l_sm_r0c0n0s0,30.4,30.4
30,  techset,techset,wc_l_sm_r0c0,18.2,18.2
31,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
32,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
33,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
34,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
35,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
36,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
37,  gfx_map,gfx_map,maps/mp/mp_kodan.d3dbsp,1200.9,1206.8
38,    map_ents,map_ents,maps/mp/mp_kodan.d3dbsp,2.9,2.9
39,  col_map_sp,col_map_sp,maps/mp/mp_kodan.d3dbsp,319.1,321.9
40,  impactfx,impactfx,,1.5,1.5
41,  sound,sound,artillery_explosion,1.2,1.2
42,  sound,sound,elm_metal_rattle,1.2,1.2
43,  sound,sound,mortar_incoming,1.6,1.6
44,  sound,sound,generic_death_arab_4,1.1,1.1
45,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
46,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
47,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
48,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
49,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
50,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
51,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
52,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
53,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
54,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
55,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
56,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
57,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
58,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
59,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
60,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
61,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
62,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
63,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
64,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
65,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
66,assetlist,assetlist,,3.3,10946.3
67,material,material,(misc),12.0,12.0
68,techset,techset,(misc),4.4,4.4
69,image,image,(misc),5.3,5.3
70,sound,sound,(misc),35.5,35.5
71,loaded_sound,loaded_sound,(misc),2.5,2.5
72,fx,fx,(misc),3.1,3.1
