index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.2,3.2
2,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,  xmodel,xmodel,vehicle_uaz_light,832.8,833.8
9,  xmodel,xmodel,mil_razorwire_mid,213.3,213.5
10,  xmodel,xmodel,vehicle_uaz_van,454.3,455.2
11,  xmodel,xmodel,com_bike_destroyed,213.7,213.9
12,  xmodel,xmodel,zakhaev_left_arm,47.0,47.3
13,  xmodel,xmodel,bc_military_comm_tower,197.7,198.2
14,  xmodel,xmodel,icbm_turbofan176,34.0,34.2
15,  techset,techset,sm2/wc_water,4.1,4.1
16,  techset,techset,wc_water,4.1,4.1
17,  techset,techset,sm2/wc_l_sm_r0c0n0s0,18.3,18.3
18,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
19,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
20,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
21,  techset,techset,wc_l_sm_r0c0n0s0,30.4,30.4
22,  techset,techset,wc_l_sm_r0c0,18.2,18.2
23,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
24,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
25,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
26,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
27,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
28,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
29,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.1,9.1
30,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
31,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
32,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
33,  techset,techset,wc_l_sm_t0c0n0s0,18.7,18.7
34,  techset,techset,wc_l_sm_t0c0,13.4,13.4
35,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
36,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
37,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
38,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
39,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
40,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
41,    material,material,wc/coup_water,48.2,48.2
42,  gfx_map,gfx_map,maps/mp/mp_komplex.d3dbsp,1166.4,1220.0
43,    map_ents,map_ents,maps/mp/mp_komplex.d3dbsp,9.2,9.2
44,  col_map_sp,col_map_sp,maps/mp/mp_komplex.d3dbsp,347.0,356.1
45,  rawfile,rawfile,maps/mp/mp_komplex.gsc,1.7,1.7
46,  impactfx,impactfx,,1.6,1.6
47,  sound,sound,artillery_explosion,1.2,1.2
48,  sound,sound,elm_metal_rattle,1.2,1.2
49,  sound,sound,mortar_incoming,1.6,1.6
50,  sound,sound,generic_death_arab_4,1.1,1.1
51,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
52,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
53,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
54,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
55,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
56,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
57,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
58,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
59,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
60,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
61,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
62,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
63,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
64,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
65,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
66,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
67,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
68,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
69,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
70,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
71,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
72,assetlist,assetlist,,3.5,9709.0
73,material,material,(misc),10.1,10.1
74,techset,techset,(misc),3.4,3.4
75,image,image,(misc),4.9,4.9
76,sound,sound,(misc),35.5,35.5
77,loaded_sound,loaded_sound,(misc),2.5,2.5
78,fx,fx,(misc),3.1,3.1
79,rawfile,rawfile,(misc),3.4,3.4
