index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.5,2.5
2,  xmodel,xmodel,com_woodlog_24_192_d,4.3,4.6
3,  xmodel,xmodel,vehicle_blackhawk_static,820.9,821.7
4,  xmodel,xmodel,prop_misc_rock_boulder_01,56.0,56.3
5,  xmodel,xmodel,prop_misc_rock_boulder_04,39.5,39.8
6,  xmodel,xmodel,prop_misc_rock_boulder_05,39.6,39.6
7,  techset,techset,sm2/mc_ambient_t0c0,21.1,21.1
8,  techset,techset,mc_ambient_t0c0,20.2,20.2
9,  xmodel,xmodel,foliage_tree_grey_oak_xl_a,471.4,471.9
10,  xmodel,xmodel,foliage_tree_grey_oak_lg_a,418.2,418.2
11,  xmodel,xmodel,foliage_red_pine_lg,286.1,286.4
12,  xmodel,xmodel,foliage_dead_pine_sm,35.2,35.6
13,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
14,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
15,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
16,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
17,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
18,  techset,techset,wc_l_sm_r0c0,18.2,18.2
19,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
20,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
21,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
22,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
23,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
24,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
25,  techset,techset,sm2/wc_water,3.0,3.0
26,  techset,techset,wc_water,2.9,2.9
27,    material,material,wc/armada_water,48.2,48.2
28,  gfx_map,gfx_map,maps/mp/mp_les.d3dbsp,497.6,547.2
29,    map_ents,map_ents,maps/mp/mp_les.d3dbsp,4.4,4.4
30,  col_map_sp,col_map_sp,maps/mp/mp_les.d3dbsp,160.7,165.1
31,  impactfx,impactfx,,1.5,1.5
32,  sound,sound,artillery_explosion,1.2,1.2
33,  sound,sound,elm_metal_rattle,1.2,1.2
34,  sound,sound,mortar_incoming,1.6,1.6
35,  sound,sound,generic_death_arab_4,1.1,1.1
36,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
37,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
38,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
39,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
40,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
41,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
42,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
43,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
44,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
45,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
46,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
47,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
48,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
49,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
50,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
51,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
52,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
53,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
54,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
55,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
56,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
57,assetlist,assetlist,,3.1,8755.8
58,material,material,(misc),6.9,6.9
59,techset,techset,(misc),4.2,4.2
60,image,image,(misc),3.3,3.3
61,sound,sound,(misc),35.5,35.5
62,loaded_sound,loaded_sound,(misc),2.5,2.5
63,fx,fx,(misc),3.1,3.1
64,rawfile,rawfile,(misc),3.2,3.2
