index,zone,type,type,name,usage(KB),total(KB)
1,mp_les,  string,string,,2.5,2.5
2,mp_les,  xmodel,xmodel,com_woodlog_24_192_d,4.3,4.6
3,mp_les,  xmodel,xmodel,vehicle_blackhawk_static,820.9,821.7
4,mp_les,  xmodel,xmodel,prop_misc_rock_boulder_01,56.0,56.3
5,mp_les,  xmodel,xmodel,prop_misc_rock_boulder_04,39.5,39.8
6,mp_les,  xmodel,xmodel,prop_misc_rock_boulder_05,39.6,39.6
7,mp_les,  techset,techset,sm2/mc_ambient_t0c0,21.1,21.1
8,mp_les,  techset,techset,mc_ambient_t0c0,20.2,20.2
9,mp_les,  xmodel,xmodel,foliage_tree_grey_oak_xl_a,471.4,471.9
10,mp_les,  xmodel,xmodel,foliage_tree_grey_oak_lg_a,418.2,418.2
11,mp_les,  xmodel,xmodel,foliage_red_pine_lg,286.1,286.4
12,mp_les,  xmodel,xmodel,foliage_dead_pine_sm,35.2,35.6
13,mp_les,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
14,mp_les,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
15,mp_les,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
16,mp_les,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
17,mp_les,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
18,mp_les,  techset,techset,wc_l_sm_r0c0,18.2,18.2
19,mp_les,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
20,mp_les,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
21,mp_les,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
22,mp_les,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
23,mp_les,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
24,mp_les,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
25,mp_les,  techset,techset,sm2/wc_water,3.0,3.0
26,mp_les,  techset,techset,wc_water,2.9,2.9
27,mp_les,    material,material,wc/armada_water,48.2,48.2
28,mp_les,  gfx_map,gfx_map,maps/mp/mp_les.d3dbsp,497.6,547.2
29,mp_les,    map_ents,map_ents,maps/mp/mp_les.d3dbsp,4.4,4.4
30,mp_les,  col_map_sp,col_map_sp,maps/mp/mp_les.d3dbsp,160.7,165.1
31,mp_les,  impactfx,impactfx,,1.5,1.5
32,mp_les,  sound,sound,artillery_explosion,1.2,1.2
33,mp_les,  sound,sound,elm_metal_rattle,1.2,1.2
34,mp_les,  sound,sound,mortar_incoming,1.6,1.6
35,mp_les,  sound,sound,generic_death_arab_4,1.1,1.1
36,mp_les,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
37,mp_les,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
38,mp_les,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
39,mp_les,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
40,mp_les,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
41,mp_les,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
42,mp_les,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
43,mp_les,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
44,mp_les,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
45,mp_les,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
46,mp_les,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
47,mp_les,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
48,mp_les,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
49,mp_les,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
50,mp_les,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
51,mp_les,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
52,mp_les,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
53,mp_les,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
54,mp_les,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
55,mp_les,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
56,mp_les,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
57,mp_les,assetlist,assetlist,,3.1,8755.8
58,mp_les,material,material,(misc),6.9,6.9
59,mp_les,techset,techset,(misc),4.2,4.2
60,mp_les,image,image,(misc),3.3,3.3
61,mp_les,sound,sound,(misc),35.5,35.5
62,mp_les,loaded_sound,loaded_sound,(misc),2.5,2.5
63,mp_les,fx,fx,(misc),3.1,3.1
64,mp_les,rawfile,rawfile,(misc),3.2,3.2
