index,type,type,name,usage(KB),total(KB)
1,  xmodel,xmodel,com_cafe_table1,21.3,21.7
2,  xmodel,xmodel,com_water_heater,62.0,62.2
3,  techset,techset,sm2/mc_unlit_replace,3.4,3.4
4,  techset,techset,mc_unlit_replace,2.9,2.9
5,  xmodel,xmodel,ch_street_light_02_on,41.7,42.0
6,  xmodel,xmodel,com_vcr,59.3,59.6
7,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.3,19.3
8,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
9,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
10,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
11,  techset,techset,wc_l_sm_r0c0n0s0,31.3,31.3
12,  techset,techset,wc_l_sm_r0c0,18.2,18.2
13,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
14,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
15,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
16,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
17,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
18,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
19,  gfx_map,gfx_map,maps/mp/mp_magical.d3dbsp,13819.0,13820.4
20,    map_ents,map_ents,maps/mp/mp_magical.d3dbsp,6.5,6.5
21,  col_map_sp,col_map_sp,maps/mp/mp_magical.d3dbsp,99.0,105.5
22,  rawfile,rawfile,maps/mp/mp_magical.gsc,6.9,6.9
23,  impactfx,impactfx,,1.5,1.5
24,  sound,sound,artillery_explosion,1.2,1.2
25,  sound,sound,elm_metal_rattle,1.2,1.2
26,  sound,sound,mortar_incoming,1.6,1.6
27,  sound,sound,generic_death_arab_4,1.1,1.1
28,assetlist,assetlist,,2.9,14350.7
29,material,material,(misc),1.9,1.9
30,techset,techset,(misc),2.8,2.8
31,sound,sound,(misc),35.5,35.5
32,loaded_sound,loaded_sound,(misc),2.5,2.5
33,fx,fx,(misc),3.1,3.1
