index,zone,type,type,name,usage(KB),total(KB)
1,mp_magical,  xmodel,xmodel,com_cafe_table1,21.3,21.7
2,mp_magical,  xmodel,xmodel,com_water_heater,62.0,62.2
3,mp_magical,  techset,techset,sm2/mc_unlit_replace,3.4,3.4
4,mp_magical,  techset,techset,mc_unlit_replace,2.9,2.9
5,mp_magical,  xmodel,xmodel,ch_street_light_02_on,41.7,42.0
6,mp_magical,  xmodel,xmodel,com_vcr,59.3,59.6
7,mp_magical,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.3,19.3
8,mp_magical,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
9,mp_magical,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
10,mp_magical,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
11,mp_magical,  techset,techset,wc_l_sm_r0c0n0s0,31.3,31.3
12,mp_magical,  techset,techset,wc_l_sm_r0c0,18.2,18.2
13,mp_magical,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
14,mp_magical,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
15,mp_magical,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
16,mp_magical,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
17,mp_magical,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
18,mp_magical,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
19,mp_magical,  gfx_map,gfx_map,maps/mp/mp_magical.d3dbsp,13819.0,13820.4
20,mp_magical,    map_ents,map_ents,maps/mp/mp_magical.d3dbsp,6.5,6.5
21,mp_magical,  col_map_sp,col_map_sp,maps/mp/mp_magical.d3dbsp,99.0,105.5
22,mp_magical,  rawfile,rawfile,maps/mp/mp_magical.gsc,6.9,6.9
23,mp_magical,  impactfx,impactfx,,1.5,1.5
24,mp_magical,  sound,sound,artillery_explosion,1.2,1.2
25,mp_magical,  sound,sound,elm_metal_rattle,1.2,1.2
26,mp_magical,  sound,sound,mortar_incoming,1.6,1.6
27,mp_magical,  sound,sound,generic_death_arab_4,1.1,1.1
28,mp_magical,assetlist,assetlist,,2.9,14350.7
29,mp_magical,material,material,(misc),1.9,1.9
30,mp_magical,techset,techset,(misc),2.8,2.8
31,mp_magical,sound,sound,(misc),35.5,35.5
32,mp_magical,loaded_sound,loaded_sound,(misc),2.5,2.5
33,mp_magical,fx,fx,(misc),3.1,3.1
