index,zone,type,type,name,usage(KB),total(KB)
1,mp_moje,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
2,mp_moje,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_moje,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,mp_moje,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,mp_moje,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
6,mp_moje,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,mp_moje,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
8,mp_moje,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
9,mp_moje,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
10,mp_moje,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
11,mp_moje,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
12,mp_moje,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
13,mp_moje,  gfx_map,gfx_map,maps/mp/mp_moje.d3dbsp,473.3,475.1
14,mp_moje,  col_map_sp,col_map_sp,maps/mp/mp_moje.d3dbsp,27.9,28.3
15,mp_moje,  impactfx,impactfx,,1.5,1.5
16,mp_moje,  sound,sound,artillery_explosion,1.2,1.2
17,mp_moje,  sound,sound,elm_metal_rattle,1.2,1.2
18,mp_moje,  sound,sound,mortar_incoming,1.6,1.6
19,mp_moje,  sound,sound,generic_death_arab_4,1.1,1.1
20,mp_moje,assetlist,assetlist,,2.8,732.1
21,mp_moje,material,material,(misc),1.2,1.2
22,mp_moje,techset,techset,(misc),2.6,2.6
23,mp_moje,sound,sound,(misc),35.5,35.5
24,mp_moje,loaded_sound,loaded_sound,(misc),2.5,2.5
25,mp_moje,fx,fx,(misc),3.1,3.1
