index,type,type,name,usage(KB),total(KB)
1,  string,string,,3.4,3.4
2,  xmodel,xmodel,sgc_base_test,1573.6,1575.0
3,  xmodel,xmodel,sgc_dhd,327.1,328.1
4,  xmodel,xmodel,cs_cargoship_wall_light_red_on,20.2,20.6
5,  xmodel,xmodel,ch_bunker_door_left,84.8,85.0
6,  xmodel,xmodel,ch_bunker_door_right,63.1,63.1
7,  xmodel,xmodel,ch_bunker_door_hinge,28.0,28.0
8,  xmodel,xmodel,ch_bunker_doorway_02,42.0,42.3
9,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
10,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
11,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
12,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
13,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
14,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
15,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
16,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
17,  xmodel,xmodel,ch_industrial_lamp_on,33.2,34.3
18,  xmodel,xmodel,bathroom_medicine_cabinet,3.8,4.0
19,  xmodel,xmodel,bathroom_shower,80.5,81.4
20,  xmodel,xmodel,bathroom_sink,42.4,42.7
21,  xmodel,xmodel,bathroom_toilet,78.7,78.7
22,  xmodel,xmodel,bathroom_towel,30.4,30.6
23,  xmodel,xmodel,bathroom_towel_rack,7.2,7.2
24,  xmodel,xmodel,icbm_electronic_cabinet2,51.5,52.1
25,  xmodel,xmodel,icbm_electronic_cabinet3,121.1,121.4
26,  xmodel,xmodel,icbm_electronic_cabinet4,112.5,112.5
27,  xmodel,xmodel,icbm_electronic_cabinet5,145.5,145.5
28,  xmodel,xmodel,icbm_electronic_cabinet6,89.1,89.1
29,  xmodel,xmodel,icbm_electronic_cabinet7,133.6,133.6
30,  xmodel,xmodel,icbm_electronic_cabinet8,117.1,117.1
31,  xmodel,xmodel,com_electrical_transformer,38.6,38.9
32,  xmodel,xmodel,icbm_electronic_cabinet1,3.5,3.5
33,  xmodel,xmodel,icbm_mainframe,35.9,36.3
34,  xmodel,xmodel,icbm_mainframe_lights01,1.4,1.6
35,  xmodel,xmodel,icbm_electricpanel1,8.6,8.8
36,  xmodel,xmodel,icbm_electricpanel2,8.1,8.1
37,  xmodel,xmodel,icbm_electricpanel7,2.8,2.8
38,  xmodel,xmodel,icbm_electricpanel6,6.2,6.2
39,  xmodel,xmodel,icbm_electricpanel5,5.4,5.4
40,  xmodel,xmodel,icbm_electricpanel4,5.1,5.1
41,  xmodel,xmodel,icbm_electricpanel3,9.3,9.3
42,  xmodel,xmodel,com_barrel_biohazard_rust,45.6,46.0
43,  xmodel,xmodel,com_barrel_black_rust,42.7,42.9
44,  xmodel,xmodel,com_barrel_corrosive_rust,13.6,13.9
45,  xmodel,xmodel,com_barrel_green_rust,12.9,13.1
46,  xmodel,xmodel,com_barrel_tan,12.9,13.2
47,  xmodel,xmodel,com_barrel_white,12.9,13.1
48,  xmodel,xmodel,com_pallet,41.5,41.7
49,  xmodel,xmodel,com_pallet_2,45.5,45.5
50,  xmodel,xmodel,com_wooden_pallet,15.7,16.0
51,  xmodel,xmodel,ch_crate24x24,59.3,59.5
52,  xmodel,xmodel,ch_crate32x48,59.8,59.8
53,  xmodel,xmodel,ch_crate24x36,59.3,59.3
54,  xmodel,xmodel,ch_crate48x64,62.3,62.3
55,  xmodel,xmodel,ch_crate64x64,33.1,33.1
56,  xmodel,xmodel,com_pallet_stack,228.9,228.9
57,  xmodel,xmodel,com_pallet_destroyed,44.9,44.9
58,  xmodel,xmodel,ch_icbm_console_table1,8.1,8.4
59,  xmodel,xmodel,mil_bunker_bed_mattress,7.3,7.5
60,  techset,techset,sm2/mc_l_sm_t0c0n0s0,35.4,35.4
