index,zone,type,type,name,usage(KB),total(KB)
1,mp_ostrov,  string,string,,1.8,1.8
2,mp_ostrov,  xmodel,xmodel,body_complete_sp_russian_farmer,150.2,151.2
3,mp_ostrov,  techset,techset,sm2/mc_ambient_t0c0,21.1,21.1
4,mp_ostrov,  techset,techset,mc_ambient_t0c0,20.2,20.2
5,mp_ostrov,  xmodel,xmodel,foliage_bush_big,33.5,33.6
6,mp_ostrov,  techset,techset,sm2/mc_l_t0c0n0s0,21.8,21.8
7,mp_ostrov,  techset,techset,sm2/mc_l_t0c0,14.3,14.3
8,mp_ostrov,  techset,techset,mc_l_t0c0n0s0,26.6,26.6
9,mp_ostrov,  techset,techset,mc_l_t0c0,14.4,14.4
10,mp_ostrov,  techset,techset,mc_l_t0c0s0,19.5,19.5
11,mp_ostrov,  techset,techset,mc_l_t0c0n0,17.3,17.3
12,mp_ostrov,  techset,techset,sm2/mc_l_r0c0n0s0,15.5,15.5
13,mp_ostrov,  techset,techset,sm2/mc_l_r0c0,9.7,9.7
14,mp_ostrov,  techset,techset,mc_l_r0c0n0s0,19.2,19.2
15,mp_ostrov,  techset,techset,mc_l_r0c0,9.3,9.3
16,mp_ostrov,  techset,techset,mc_l_r0c0s0,12.3,12.3
17,mp_ostrov,  techset,techset,mc_l_r0c0n0,9.2,9.2
18,mp_ostrov,  xmodel,xmodel,foliage_tree_palm_bushy_1,221.8,222.2
19,mp_ostrov,  xmodel,xmodel,foliage_tree_palm_bushy_3,226.6,226.6
20,mp_ostrov,  xmodel,xmodel,foliage_tree_palm_tall_3,252.2,252.2
21,mp_ostrov,  xmodel,xmodel,foliage_tree_palm_med_2,238.6,238.6
22,mp_ostrov,  techset,techset,sm2/wc_l_sm_r0c0,12.9,12.9
23,mp_ostrov,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
24,mp_ostrov,  techset,techset,wc_l_sm_r0c0,19.6,19.6
25,mp_ostrov,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
26,mp_ostrov,  techset,techset,sm2/wc_water,3.0,3.0
27,mp_ostrov,  techset,techset,wc_water,2.9,2.9
28,mp_ostrov,    material,material,wc/chernobyl_water,48.2,48.2
29,mp_ostrov,  gfx_map,gfx_map,maps/mp/mp_ostrov.d3dbsp,392.9,441.7
30,mp_ostrov,    map_ents,map_ents,maps/mp/mp_ostrov.d3dbsp,2.2,2.2
31,mp_ostrov,  col_map_sp,col_map_sp,maps/mp/mp_ostrov.d3dbsp,20.1,22.3
32,mp_ostrov,  impactfx,impactfx,,1.6,1.6
33,mp_ostrov,  sound,sound,artillery_explosion,1.2,1.2
34,mp_ostrov,  sound,sound,elm_metal_rattle,1.2,1.2
35,mp_ostrov,  sound,sound,mortar_incoming,1.6,1.6
36,mp_ostrov,  sound,sound,generic_death_arab_4,1.1,1.1
37,mp_ostrov,assetlist,assetlist,,2.9,1930.4
38,mp_ostrov,material,material,(misc),1.5,1.5
39,mp_ostrov,techset,techset,(misc),2.8,2.8
40,mp_ostrov,sound,sound,(misc),35.5,35.5
41,mp_ostrov,loaded_sound,loaded_sound,(misc),2.5,2.5
42,mp_ostrov,fx,fx,(misc),3.1,3.1
