index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.4,2.4
2,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
3,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
4,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
5,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
6,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
7,  techset,techset,wc_l_sm_r0c0,18.2,18.2
8,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
9,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
10,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
11,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
12,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
13,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
14,  gfx_map,gfx_map,maps/mp/mp_potals.d3dbsp,1038.3,1039.5
15,  col_map_sp,col_map_sp,maps/mp/mp_potals.d3dbsp,8.0,8.5
16,  impactfx,impactfx,,1.5,1.5
17,  sound,sound,artillery_explosion,1.2,1.2
18,  sound,sound,elm_metal_rattle,1.2,1.2
19,  sound,sound,mortar_incoming,1.6,1.6
20,  sound,sound,generic_death_arab_4,1.1,1.1
21,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
22,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
23,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
24,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.1
25,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
26,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
27,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
28,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
29,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
30,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
31,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
32,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
33,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
34,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
35,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
36,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
37,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
38,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
39,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
40,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
41,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
42,assetlist,assetlist,,3.0,6866.5
43,material,material,(misc),4.8,4.8
44,techset,techset,(misc),1.4,1.4
45,image,image,(misc),2.6,2.6
46,sound,sound,(misc),35.5,35.5
47,loaded_sound,loaded_sound,(misc),2.5,2.5
48,fx,fx,(misc),3.1,3.1
