index,type,type,name,usage(KB),total(KB)
1,  string,string,,10.0,10.0
2,  xmodel,xmodel,com_door_01_handleleft,8.8,9.1
3,  xmodel,xmodel,com_dresser,14.6,14.9
4,  xmodel,xmodel,com_bookshelves1,9.1,9.1
5,  techset,techset,sm2/mc_l_sm_r0c0d0n0,36.7,36.7
6,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,18.2,18.2
7,  techset,techset,mc_l_sm_r0c0d0n0,50.0,50.0
8,  techset,techset,mc_l_hsm_r0c0d0n0,20.8,20.8
9,  xmodel,xmodel,com_ladder_wood,16.7,16.9
10,  xmodel,xmodel,bathroom_shower,80.5,81.4
11,  xmodel,xmodel,bathroom_towel,30.4,30.6
12,  xmodel,xmodel,bathroom_shower_rod,4.3,4.6
13,  xmodel,xmodel,bathroom_medicine_cabinet,3.8,3.8
14,  xmodel,xmodel,bathroom_sink,42.4,42.7
15,  xmodel,xmodel,bathroom_toilet,78.7,78.7
16,  xmodel,xmodel,bathroom_toilet_lid,8.3,8.3
17,  xmodel,xmodel,bathroom_plunger,13.3,13.5
18,  xmodel,xmodel,bathroom_shampoo1,10.1,10.1
19,  xmodel,xmodel,bathroom_shampoo2,13.3,13.3
20,  xmodel,xmodel,bathroom_soap,6.7,6.7
21,  xmodel,xmodel,com_french_bathtub_porcelain,41.4,41.7
22,  xmodel,xmodel,com_french_bath_showerhead,57.0,57.3
23,  xmodel,xmodel,com_french_bath_faucet,33.0,33.0
24,  xmodel,xmodel,com_french_sink2,97.3,97.6
25,  xmodel,xmodel,com_french_toiletbowl,31.0,31.3
26,  xmodel,xmodel,com_french_toiletseatcover,7.9,7.9
27,  techset,techset,sm2/mc_l_sm_t0c0n0s0,20.6,20.6
28,  techset,techset,sm2/mc_l_hsm_t0c0n0,11.4,11.4
29,  techset,techset,mc_l_sm_t0c0n0s0,52.1,52.1
30,  techset,techset,mc_l_sm_t0c0n0,22.5,22.5
31,  techset,techset,mc_l_hsm_t0c0n0,13.8,13.8
