index,zone,type,type,name,usage(KB),total(KB)
1,mp_project6,  string,string,,10.0,10.0
2,mp_project6,  xmodel,xmodel,com_door_01_handleleft,8.8,9.1
3,mp_project6,  xmodel,xmodel,com_dresser,14.6,14.9
4,mp_project6,  xmodel,xmodel,com_bookshelves1,9.1,9.1
5,mp_project6,  techset,techset,sm2/mc_l_sm_r0c0d0n0,36.7,36.7
6,mp_project6,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,18.2,18.2
7,mp_project6,  techset,techset,mc_l_sm_r0c0d0n0,50.0,50.0
8,mp_project6,  techset,techset,mc_l_hsm_r0c0d0n0,20.8,20.8
9,mp_project6,  xmodel,xmodel,com_ladder_wood,16.7,16.9
10,mp_project6,  xmodel,xmodel,bathroom_shower,80.5,81.4
11,mp_project6,  xmodel,xmodel,bathroom_towel,30.4,30.6
12,mp_project6,  xmodel,xmodel,bathroom_shower_rod,4.3,4.6
13,mp_project6,  xmodel,xmodel,bathroom_medicine_cabinet,3.8,3.8
14,mp_project6,  xmodel,xmodel,bathroom_sink,42.4,42.7
15,mp_project6,  xmodel,xmodel,bathroom_toilet,78.7,78.7
16,mp_project6,  xmodel,xmodel,bathroom_toilet_lid,8.3,8.3
17,mp_project6,  xmodel,xmodel,bathroom_plunger,13.3,13.5
18,mp_project6,  xmodel,xmodel,bathroom_shampoo1,10.1,10.1
19,mp_project6,  xmodel,xmodel,bathroom_shampoo2,13.3,13.3
20,mp_project6,  xmodel,xmodel,bathroom_soap,6.7,6.7
21,mp_project6,  xmodel,xmodel,com_french_bathtub_porcelain,41.4,41.7
22,mp_project6,  xmodel,xmodel,com_french_bath_showerhead,57.0,57.3
23,mp_project6,  xmodel,xmodel,com_french_bath_faucet,33.0,33.0
24,mp_project6,  xmodel,xmodel,com_french_sink2,97.3,97.6
25,mp_project6,  xmodel,xmodel,com_french_toiletbowl,31.0,31.3
26,mp_project6,  xmodel,xmodel,com_french_toiletseatcover,7.9,7.9
27,mp_project6,  techset,techset,sm2/mc_l_sm_t0c0n0s0,20.6,20.6
28,mp_project6,  techset,techset,sm2/mc_l_hsm_t0c0n0,11.4,11.4
29,mp_project6,  techset,techset,mc_l_sm_t0c0n0s0,52.1,52.1
30,mp_project6,  techset,techset,mc_l_sm_t0c0n0,22.5,22.5
31,mp_project6,  techset,techset,mc_l_hsm_t0c0n0,13.8,13.8
32,mp_project6,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
33,mp_project6,  xmodel,xmodel,com_french_toilettank,34.9,35.2
34,mp_project6,  xmodel,xmodel,vehicle_80s_wagon1_yel,499.1,499.6
35,mp_project6,  xmodel,xmodel,com_restaurantceilinglamp_on,54.1,54.5
36,mp_project6,  xmodel,xmodel,com_cafe_light_part2,7.4,7.6
37,mp_project6,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.2,2.2
38,mp_project6,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
39,mp_project6,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.0,2.0
40,mp_project6,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
41,mp_project6,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
42,mp_project6,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
43,mp_project6,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
44,mp_project6,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
45,mp_project6,  xmodel,xmodel,com_lightbox_on,75.4,76.3
46,mp_project6,  xmodel,xmodel,com_industrialtrashbin,288.6,288.8
47,mp_project6,  xmodel,xmodel,com_grandfatherclocktall,13.9,14.2
48,mp_project6,  xmodel,xmodel,com_northafrica_armoire_short,11.7,11.9
49,mp_project6,  xmodel,xmodel,com_northafrica_coffeetable,30.4,30.7
50,mp_project6,  xmodel,xmodel,com_office_book_shelf,15.8,16.1
51,mp_project6,  xmodel,xmodel,com_office_book_set1,10.0,10.3
52,mp_project6,  xmodel,xmodel,com_office_book_black_open,17.5,17.5
53,mp_project6,  xmodel,xmodel,com_office_book_red_flat,19.3,19.3
54,mp_project6,  xmodel,xmodel,com_office_book_blue_paper_folder,1.1,1.1
55,mp_project6,  xmodel,xmodel,com_office_book_beige_paper_folder,1.0,1.0
56,mp_project6,  xmodel,xmodel,com_office_book_blue_standing,18.2,18.2
57,mp_project6,  xmodel,xmodel,com_office_book_black_standing,16.7,16.7
58,mp_project6,  xmodel,xmodel,com_office_book_pink_paper_folder,1.0,1.0
59,mp_project6,  xmodel,xmodel,com_office_book_red_standing,17.0,17.0
60,mp_project6,  xmodel,xmodel,me_antenna,44.5,44.8
61,mp_project6,  xmodel,xmodel,com_wheelbarrow,121.3,121.5
62,mp_project6,  xmodel,xmodel,com_water_heater,62.0,62.2
63,mp_project6,  xmodel,xmodel,ch_furniture_couch01,64.2,64.5
64,mp_project6,  xmodel,xmodel,ch_furniture_couch02,97.3,97.3
65,mp_project6,  techset,techset,sm2/mc_ambient_t0c0,13.0,13.0
66,mp_project6,  techset,techset,mc_ambient_t0c0,12.9,12.9
67,mp_project6,  xmodel,xmodel,foliage_bush_big,33.5,33.6
68,mp_project6,  xmodel,xmodel,com_lamp_desk_interior,11.9,12.3
69,mp_project6,  xmodel,xmodel,ch_mailboxes,12.3,12.5
70,mp_project6,  xmodel,xmodel,ch_piano_light,87.7,87.7
71,mp_project6,  xmodel,xmodel,ch_bedframemetal_gray,53.3,53.6
72,mp_project6,  xmodel,xmodel,ch_mattress_2,36.8,37.1
73,mp_project6,  xmodel,xmodel,ch_mattress_3,28.3,28.3
74,mp_project6,  xmodel,xmodel,ch_lawnmower,97.2,97.5
75,mp_project6,  xmodel,xmodel,ch_radiator01,106.1,106.3
76,mp_project6,  xmodel,xmodel,me_satellitedish,99.8,100.1
77,mp_project6,  xmodel,xmodel,com_metal_briefcase,30.6,30.9
78,mp_project6,  xmodel,xmodel,com_filecabinetblackopen,27.4,27.5
79,mp_project6,  xmodel,xmodel,com_lamp_ornate_off,33.9,34.2
80,mp_project6,  xmodel,xmodel,com_northafrica_longtable,35.2,35.5
81,mp_project6,  xmodel,xmodel,ch_wood_stove,74.6,74.9
82,mp_project6,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
83,mp_project6,  xmodel,xmodel,com_flower_pot01,39.1,39.7
84,mp_project6,  xmodel,xmodel,com_flower_pot02,53.3,53.6
85,mp_project6,  xmodel,xmodel,com_flower_pot03,39.5,39.8
86,mp_project6,  xmodel,xmodel,com_potted_plant01,48.6,48.8
87,mp_project6,  xmodel,xmodel,com_debris_paper,3.2,3.6
88,mp_project6,  xmodel,xmodel,com_potted_plant02,43.2,43.5
89,mp_project6,  xmodel,xmodel,com_potted_plant03,30.1,30.4
90,mp_project6,  xmodel,xmodel,ch_bunker_wires_01,77.1,77.4
91,mp_project6,  xmodel,xmodel,ch_curtain01,20.2,20.4
92,mp_project6,  xmodel,xmodel,com_railpipe_med_01,25.3,25.8
93,mp_project6,  xmodel,xmodel,ch_bunker_wires_02,126.4,126.4
94,mp_project6,  xmodel,xmodel,com_bookshelvestall,7.9,7.9
95,mp_project6,  xmodel,xmodel,com_bookshelveswide,8.0,8.0
96,mp_project6,  xmodel,xmodel,com_armoire,26.1,26.3
97,mp_project6,  xmodel,xmodel,com_cafe_table2,19.2,19.6
98,mp_project6,  xmodel,xmodel,com_cafe_table1,21.3,21.7
99,mp_project6,  xmodel,xmodel,com_cafe_chair2,44.5,44.9
100,mp_project6,  xmodel,xmodel,com_furniture_sidetable1,34.2,34.2
101,mp_project6,  xmodel,xmodel,ch_furniture_teachers_desk1,20.6,20.9
102,mp_project6,  xmodel,xmodel,ch_furniture_teachers_chair1,146.5,146.5
103,mp_project6,  xmodel,xmodel,ch_industrial_light_01_on,29.1,29.5
104,mp_project6,  xmodel,xmodel,com_restaurantchair_1,158.6,158.9
105,mp_project6,  xmodel,xmodel,com_restaurantsink_2comps,171.6,171.9
106,mp_project6,  xmodel,xmodel,com_restaurantstovewithburner,163.7,164.0
107,mp_project6,  xmodel,xmodel,me_refrigerator,45.1,45.3
108,mp_project6,  xmodel,xmodel,com_stove,41.5,41.8
109,mp_project6,  xmodel,xmodel,com_trashbag2_black,46.4,46.7
110,mp_project6,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.0
111,mp_project6,  xmodel,xmodel,com_wine_crate,83.2,83.7
112,mp_project6,  xmodel,xmodel,me_refrigerator2,46.3,46.5
113,mp_project6,  xmodel,xmodel,com_copypaper_package3,3.5,3.9
114,mp_project6,  xmodel,xmodel,com_doorknob1,22.1,22.3
115,mp_project6,  xmodel,xmodel,me_corrugated_metal8x8,44.8,45.1
116,mp_project6,  xmodel,xmodel,com_cardboardbox04,2.2,2.6
117,mp_project6,  xmodel,xmodel,com_cardboardbox01,10.6,10.6
118,mp_project6,  xmodel,xmodel,com_cardboardbox03,18.0,18.0
119,mp_project6,  xmodel,xmodel,com_cardboardbox06,9.8,9.8
120,mp_project6,  xmodel,xmodel,com_cardboardboxshortopen_2,9.2,9.2
121,mp_project6,  xmodel,xmodel,com_cardboardboxshortclosed_2,8.0,8.0
122,mp_project6,  xmodel,xmodel,com_cardboardboxshortopen_3,10.8,10.8
123,mp_project6,  xmodel,xmodel,me_corrugated_metal4x8,23.6,23.6
124,mp_project6,  xmodel,xmodel,me_corrugated_metal2x8,13.6,13.6
125,mp_project6,  xmodel,xmodel,com_cardboardbox02,10.9,10.9
126,mp_project6,  xmodel,xmodel,com_walltable2,12.7,12.7
127,mp_project6,  xmodel,xmodel,com_northafrica_armoire_tall,10.3,10.3
128,mp_project6,  xmodel,xmodel,com_ovaldiningtable,26.9,27.1
129,mp_project6,  xmodel,xmodel,com_trashcan,54.3,54.6
130,mp_project6,  xmodel,xmodel,ch_washer_01,13.4,13.7
131,mp_project6,  xmodel,xmodel,me_basket_rattan06,65.2,65.5
132,mp_project6,  xmodel,xmodel,me_woodcrateclosed,33.6,33.8
133,mp_project6,  xmodel,xmodel,me_wood_cage_small,70.2,70.4
134,mp_project6,  xmodel,xmodel,me_wood_cage_large,68.1,68.1
135,mp_project6,  xmodel,xmodel,com_cardboardboxshortclosed_1,3.4,3.4
136,mp_project6,  xmodel,xmodel,me_woodcrateopen,39.5,39.5
137,mp_project6,  xmodel,xmodel,me_citrus_box1,1.7,1.8
138,mp_project6,  xmodel,xmodel,me_banana_box2,1.6,1.7
139,mp_project6,  xmodel,xmodel,com_pallet_2,45.5,45.7
140,mp_project6,  xmodel,xmodel,bc_cot,35.9,36.1
141,mp_project6,  xmodel,xmodel,com_bike,225.9,226.1
142,mp_project6,  xmodel,xmodel,com_books3,1.6,1.8
143,mp_project6,  xmodel,xmodel,com_gas_pipes01,148.1,148.4
144,mp_project6,  xmodel,xmodel,bc_militarytent_wood_table,19.2,19.4
145,mp_project6,  xmodel,xmodel,com_faucet01,37.3,37.5
146,mp_project6,  xmodel,xmodel,bc_military_tire04_big,51.3,51.5
147,mp_project6,  xmodel,xmodel,mil_bunker_bed2,47.5,47.9
148,mp_project6,  xmodel,xmodel,me_market_umbrella_base,9.2,9.5
149,mp_project6,  xmodel,xmodel,me_market_umbrella_3,38.4,38.6
150,mp_project6,  xmodel,xmodel,me_market_umbrella_6,7.9,8.0
151,mp_project6,  xmodel,xmodel,com_restaurantstainlessteelshelf_01,63.6,63.9
152,mp_project6,  xmodel,xmodel,com_restaurantstainlessteelshelf_02,60.2,60.2
153,mp_project6,  xmodel,xmodel,me_banana_box1,1.6,1.6
154,mp_project6,  xmodel,xmodel,me_box_citrusfruitopen_1,19.0,19.0
155,mp_project6,  xmodel,xmodel,me_box_citrusfruitopen_2,17.5,17.5
156,mp_project6,  xmodel,xmodel,ch_rubble_broken_pool_tile,45.4,45.7
157,mp_project6,  xmodel,xmodel,com_rowboat,56.7,57.0
158,mp_project6,  xmodel,xmodel,me_tomato_crate1,51.0,51.5
159,mp_project6,  xmodel,xmodel,me_basket_rattan03,57.1,57.1
160,mp_project6,  xmodel,xmodel,com_barrel_blue,43.1,43.4
161,mp_project6,  xmodel,xmodel,com_walltable1,20.8,20.8
162,mp_project6,  xmodel,xmodel,com_chess,171.0,171.3
163,mp_project6,  xmodel,xmodel,cs_ladder_straight,82.2,82.4
164,mp_project6,  xmodel,xmodel,foliage_hedge_wall_endcap,3.4,3.6
165,mp_project6,  xmodel,xmodel,foliage_ivy_bottom01,12.1,12.3
166,mp_project6,  xmodel,xmodel,foliage_ivy_corner02,13.5,13.5
167,mp_project6,  xmodel,xmodel,foliage_ivy_tree,3.8,3.9
168,mp_project6,  xmodel,xmodel,foliage_grass_tuft_shortwide,1.0,1.2
