index,zone,type,type,name,usage(KB),total(KB)
1,mp_radiant,  techset,techset,sm2/wc_l_sm_r0c0n0,20.9,20.9
2,mp_radiant,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
3,mp_radiant,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
4,mp_radiant,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
5,mp_radiant,  techset,techset,wc_l_sm_r0c0n0,27.9,27.9
6,mp_radiant,  techset,techset,wc_l_sm_r0c0,18.2,18.2
7,mp_radiant,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
8,mp_radiant,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
9,mp_radiant,  gfx_map,gfx_map,maps/mp/mp_radiant.d3dbsp,382.0,382.2
10,mp_radiant,  col_map_sp,col_map_sp,maps/mp/mp_radiant.d3dbsp,1.6,2.0
11,mp_radiant,  impactfx,impactfx,,1.5,1.5
12,mp_radiant,  sound,sound,artillery_explosion,1.2,1.2
13,mp_radiant,  sound,sound,elm_metal_rattle,1.2,1.2
14,mp_radiant,  sound,sound,mortar_incoming,1.6,1.6
15,mp_radiant,  sound,sound,generic_death_arab_4,1.1,1.1
16,mp_radiant,assetlist,assetlist,,2.7,552.9
17,mp_radiant,techset,techset,(misc),1.1,1.1
18,mp_radiant,sound,sound,(misc),35.5,35.5
19,mp_radiant,loaded_sound,loaded_sound,(misc),2.5,2.5
20,mp_radiant,fx,fx,(misc),3.1,3.1
