index,type,type,name,usage(KB),total(KB)
1,  string,string,,5.9,5.9
2,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
3,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
4,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
5,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
6,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
7,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
8,  xmodel,xmodel,com_bench,22.2,22.4
9,  xmodel,xmodel,com_dining_cabinet,64.8,65.0
10,  xmodel,xmodel,com_dresser,14.6,14.6
11,  xmodel,xmodel,com_furniture_sidetable1,34.2,34.2
12,  xmodel,xmodel,com_grandfatherclocktall,13.9,14.2
13,  techset,techset,sm2/mc_l_sm_r0c0d0n0,21.2,21.2
14,  techset,techset,sm2/mc_l_hsm_r0c0d0n0,12.0,12.0
15,  techset,techset,mc_l_sm_r0c0d0n0,30.8,30.8
16,  techset,techset,mc_l_hsm_r0c0d0n0,14.3,14.3
17,  xmodel,xmodel,com_ladder_wood,16.7,16.9
18,  xmodel,xmodel,com_longdiningtable_d,15.0,15.3
19,  xmodel,xmodel,com_tableclock1,9.1,9.4
20,  xmodel,xmodel,com_walltable1_d,18.4,18.7
21,  xmodel,xmodel,com_walltable2_d,13.3,13.3
22,  xmodel,xmodel,com_bookshelves1_d,7.7,7.7
23,  xmodel,xmodel,com_bookshelvestall,7.9,7.9
24,  xmodel,xmodel,com_bookshelveswide,8.0,8.0
25,  xmodel,xmodel,com_dresser_d,15.0,15.0
26,  xmodel,xmodel,ch_hayroll_03,30.2,30.4
27,  xmodel,xmodel,com_plainchair,37.3,37.3
28,  xmodel,xmodel,body_complete_sp_russian_farmer,150.3,151.3
29,  xmodel,xmodel,com_powerpole1,36.4,36.6
30,  xmodel,xmodel,com_powerpole3,34.4,34.4
31,  xmodel,xmodel,com_tractor,421.3,421.5
32,  xmodel,xmodel,com_wheelbarrow,121.3,121.5
33,  xmodel,xmodel,ch_dead_cow,118.0,118.3
34,  xmodel,xmodel,ch_haycart_destroyed,188.4,188.7
35,  xmodel,xmodel,ch_hayroll_02,36.6,36.6
36,  xmodel,xmodel,vehicle_tractor,338.9,339.6
37,  xmodel,xmodel,vehicle_tractor_2,152.5,152.5
38,  xmodel,xmodel,vehicle_small_wagon_green,444.6,445.4
39,  xmodel,xmodel,mil_sandbag_desert_curved,208.5,208.7
40,  xmodel,xmodel,com_crate01,15.2,15.4
41,  xmodel,xmodel,com_ovaldiningtable,26.9,26.9
42,  xmodel,xmodel,com_playpen,57.4,57.7
43,  xmodel,xmodel,com_smallcoffeetable,18.7,18.7
44,  xmodel,xmodel,com_walltable1,20.7,20.7
45,  xmodel,xmodel,com_walltable2,12.6,12.6
46,  xmodel,xmodel,ch_piano_light,87.6,87.6
47,  xmodel,xmodel,ch_russian_table_no_top,53.5,53.8
48,  xmodel,xmodel,ch_russian_table_cloth3,13.7,13.9
49,  xmodel,xmodel,vehicle_small_wagon_white,51.0,51.2
