index,zone,type,type,name,usage(KB),total(KB)
1,mp_sg_hatak,  string,string,,4.0,4.0
2,mp_sg_hatak,  xmodel,xmodel,4gf_sgc_rings,152.6,152.8
3,mp_sg_hatak,  xmodel,xmodel,4gf_sgc_dhd,823.3,824.8
4,mp_sg_hatak,  xmodel,xmodel,sgc_props_1,208.6,208.9
5,mp_sg_hatak,  xmodel,xmodel,sgc_props_2,65.6,65.6
6,mp_sg_hatak,  xmodel,xmodel,sgc_props_13,29.5,29.5
7,mp_sg_hatak,  xmodel,xmodel,sgc_props_16,246.3,246.3
8,mp_sg_hatak,  xmodel,xmodel,sgc_props_23,185.4,185.4
9,mp_sg_hatak,  xmodel,xmodel,sgc_props_24,67.2,67.2
10,mp_sg_hatak,  xmodel,xmodel,sgc_props_15,99.5,99.5
11,mp_sg_hatak,  xmodel,xmodel,sgc_models_2,33.6,34.1
12,mp_sg_hatak,  xmodel,xmodel,sgc_models_1,9.6,9.7
13,mp_sg_hatak,  xmodel,xmodel,sgc_models_3,18.5,18.5
14,mp_sg_hatak,  xmodel,xmodel,4gf_logo,515.1,515.6
15,mp_sg_hatak,  xmodel,xmodel,sgc_props_18,10.3,10.3
16,mp_sg_hatak,  xmodel,xmodel,sgc_table,6.3,6.5
17,mp_sg_hatak,  xmodel,xmodel,sgc_gen_chair,44.4,44.5
18,mp_sg_hatak,  xmodel,xmodel,sgc_gen_dresser_1,70.4,70.8
19,mp_sg_hatak,  xmodel,xmodel,sgc_gen_dresser_2,86.6,86.6
20,mp_sg_hatak,  xmodel,xmodel,sgc_gen_cabinet,90.3,90.5
21,mp_sg_hatak,  xmodel,xmodel,sgc_plotter,14.5,14.7
22,mp_sg_hatak,  xmodel,xmodel,sgc_logo,75.0,75.2
23,mp_sg_hatak,  xmodel,xmodel,sgc_ramp,485.2,486.1
24,mp_sg_hatak,  xmodel,xmodel,sgc_scanner,21.2,21.5
25,mp_sg_hatak,  xmodel,xmodel,4gf_sgc_gate,1599.1,1600.5
26,mp_sg_hatak,  xmodel,xmodel,4gf_sgc_ring,320.2,320.4
27,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_r0c0,18.4,18.4
28,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
29,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0,24.3,24.3
30,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
31,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,15.3,15.3
32,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_r0c0n0,13.1,13.1
33,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
34,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
35,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
36,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,9.5,9.5
37,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0d0n0s0,28.3,28.3
38,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
39,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0n0,19.7,19.7
40,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0n0s0,15.9,15.9
41,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
42,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
43,mp_sg_hatak,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
44,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
45,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
46,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
47,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
48,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
49,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0d0n0,8.5,8.5
50,mp_sg_hatak,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
51,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_a0c0,7.8,7.8
52,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_a0c0,5.7,5.7
53,mp_sg_hatak,  techset,techset,wc_l_sm_a0c0,12.8,12.8
54,mp_sg_hatak,  techset,techset,wc_l_hsm_a0c0,6.9,6.9
55,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
56,mp_sg_hatak,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
57,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
58,mp_sg_hatak,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
59,mp_sg_hatak,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
60,mp_sg_hatak,  techset,techset,wc_l_sm_t0c0,13.4,13.4
61,mp_sg_hatak,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
62,mp_sg_hatak,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
63,mp_sg_hatak,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
64,mp_sg_hatak,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
65,mp_sg_hatak,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
66,mp_sg_hatak,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
67,mp_sg_hatak,  gfx_map,gfx_map,maps/mp/mp_sg_hatak.d3dbsp,3218.8,3226.8
68,mp_sg_hatak,    map_ents,map_ents,maps/mp/mp_sg_hatak.d3dbsp,18.3,18.3
69,mp_sg_hatak,  col_map_sp,col_map_sp,maps/mp/mp_sg_hatak.d3dbsp,1195.1,1213.4
70,mp_sg_hatak,  impactfx,impactfx,,1.5,1.5
71,mp_sg_hatak,  sound,sound,artillery_explosion,1.2,1.2
72,mp_sg_hatak,  sound,sound,elm_metal_rattle,1.2,1.2
73,mp_sg_hatak,  sound,sound,mortar_incoming,1.6,1.6
74,mp_sg_hatak,  sound,sound,generic_death_arab_4,1.1,1.1
75,mp_sg_hatak,  rawfile,rawfile,maps/mp/mp_sg_hatak.gsc,1.6,1.6
76,mp_sg_hatak,  rawfile,rawfile,maps/mp/stargate/_door_hatak.gsc,2.6,2.6
77,mp_sg_hatak,  rawfile,rawfile,maps/mp/stargate/_door_sgc.gsc,1.5,1.5
78,mp_sg_hatak,  rawfile,rawfile,maps/mp/stargate/_rings.gsc,6.2,6.2
79,mp_sg_hatak,  rawfile,rawfile,maps/mp/stargate/sgc_base.gsc,10.9,10.9
80,mp_sg_hatak,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
81,mp_sg_hatak,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
82,mp_sg_hatak,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
83,mp_sg_hatak,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
84,mp_sg_hatak,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
