index,type,type,name,usage(KB),total(KB)
1,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
2,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
3,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
4,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
5,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
6,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
7,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
8,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
9,  xmodel,xmodel,com_lightbox_on,75.4,76.3
10,  xmodel,xmodel,mil_sandbag_desert_curved,208.5,208.7
11,  xmodel,xmodel,com_barrel_biohazard_rust,45.6,46.0
12,  xmodel,xmodel,com_barrel_blue,42.7,42.9
13,  techset,techset,sm2/wc_l_sm_r0c0s0,18.0,18.0
14,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
15,  techset,techset,wc_l_sm_r0c0s0,28.6,28.6
16,  techset,techset,wc_l_sm_r0c0,13.6,13.6
17,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,  techset,techset,sm2/wc_l_sm_r0c0n0s0,14.1,14.1
20,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
21,  techset,techset,wc_l_sm_r0c0n0s0,26.5,26.5
22,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
23,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
24,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
25,  gfx_map,gfx_map,maps/mp/mp_sgout_555.d3dbsp,932.4,935.1
26,  col_map_sp,col_map_sp,maps/mp/mp_sgout_555.d3dbsp,306.1,306.6
27,  impactfx,impactfx,,1.6,1.6
28,  sound,sound,artillery_explosion,1.2,1.2
29,  sound,sound,elm_metal_rattle,1.2,1.2
30,  sound,sound,mortar_incoming,1.6,1.6
31,  sound,sound,generic_death_arab_4,1.1,1.1
32,assetlist,assetlist,,2.9,1858.0
33,material,material,(misc),3.2,3.2
34,techset,techset,(misc),2.8,2.8
35,image,image,(misc),1.2,1.2
36,sound,sound,(misc),35.5,35.5
37,loaded_sound,loaded_sound,(misc),2.5,2.5
38,fx,fx,(misc),3.1,3.1
