index,zone,type,type,name,usage(KB),total(KB)
1,mp_sgout_555,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.8,2.8
2,mp_sgout_555,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
3,mp_sgout_555,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.4,2.4
4,mp_sgout_555,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
5,mp_sgout_555,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
6,mp_sgout_555,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
7,mp_sgout_555,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
8,mp_sgout_555,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
9,mp_sgout_555,  xmodel,xmodel,com_lightbox_on,75.4,76.3
10,mp_sgout_555,  xmodel,xmodel,mil_sandbag_desert_curved,208.5,208.7
11,mp_sgout_555,  xmodel,xmodel,com_barrel_biohazard_rust,45.6,46.0
12,mp_sgout_555,  xmodel,xmodel,com_barrel_blue,42.7,42.9
13,mp_sgout_555,  techset,techset,sm2/wc_l_sm_r0c0s0,18.0,18.0
14,mp_sgout_555,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
15,mp_sgout_555,  techset,techset,wc_l_sm_r0c0s0,28.6,28.6
16,mp_sgout_555,  techset,techset,wc_l_sm_r0c0,13.6,13.6
17,mp_sgout_555,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
18,mp_sgout_555,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
19,mp_sgout_555,  techset,techset,sm2/wc_l_sm_r0c0n0s0,14.1,14.1
20,mp_sgout_555,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
21,mp_sgout_555,  techset,techset,wc_l_sm_r0c0n0s0,26.5,26.5
22,mp_sgout_555,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
23,mp_sgout_555,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
24,mp_sgout_555,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
25,mp_sgout_555,  gfx_map,gfx_map,maps/mp/mp_sgout_555.d3dbsp,932.4,935.1
26,mp_sgout_555,  col_map_sp,col_map_sp,maps/mp/mp_sgout_555.d3dbsp,306.1,306.6
27,mp_sgout_555,  impactfx,impactfx,,1.6,1.6
28,mp_sgout_555,  sound,sound,artillery_explosion,1.2,1.2
29,mp_sgout_555,  sound,sound,elm_metal_rattle,1.2,1.2
30,mp_sgout_555,  sound,sound,mortar_incoming,1.6,1.6
31,mp_sgout_555,  sound,sound,generic_death_arab_4,1.1,1.1
32,mp_sgout_555,assetlist,assetlist,,2.9,1858.0
33,mp_sgout_555,material,material,(misc),3.2,3.2
34,mp_sgout_555,techset,techset,(misc),2.8,2.8
35,mp_sgout_555,image,image,(misc),1.2,1.2
36,mp_sgout_555,sound,sound,(misc),35.5,35.5
37,mp_sgout_555,loaded_sound,loaded_sound,(misc),2.5,2.5
38,mp_sgout_555,fx,fx,(misc),3.1,3.1
