index,type,type,name,usage(KB),total(KB)
1,  string,string,,2.5,2.5
2,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
4,  xmodel,xmodel,me_dumpster,87.0,87.5
5,  xmodel,xmodel,vehicle_ch46e_damaged_rear_piece,1263.5,1264.2
6,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
7,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
8,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
9,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
10,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
11,  techset,techset,wc_l_sm_r0c0,18.2,18.2
12,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
13,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
14,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
15,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
16,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
17,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
18,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
19,  techset,techset,wc_unlit_multiply,1.8,1.8
20,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
21,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
22,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
23,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
24,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
25,  techset,techset,wc_l_sm_t0c0,13.4,13.4
26,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
27,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
28,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
29,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
30,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
31,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
32,  gfx_map,gfx_map,maps/mp/mp_skyjump.d3dbsp,4938.5,4940.4
33,    map_ents,map_ents,maps/mp/mp_skyjump.d3dbsp,10.8,10.8
34,  col_map_sp,col_map_sp,maps/mp/mp_skyjump.d3dbsp,344.0,354.9
35,  impactfx,impactfx,,1.5,1.5
36,  sound,sound,artillery_explosion,1.2,1.2
37,  sound,sound,elm_metal_rattle,1.2,1.2
38,  sound,sound,mortar_incoming,1.6,1.6
39,  sound,sound,generic_death_arab_4,1.1,1.1
40,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
41,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
42,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
43,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
44,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
45,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
46,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
47,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
48,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
49,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
50,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
51,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
52,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
53,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
54,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
55,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
56,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
57,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
58,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
59,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
60,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
61,assetlist,assetlist,,3.2,12677.7
62,material,material,(misc),6.4,6.4
63,techset,techset,(misc),2.9,2.9
64,image,image,(misc),3.1,3.1
65,sound,sound,(misc),35.5,35.5
66,loaded_sound,loaded_sound,(misc),2.5,2.5
67,fx,fx,(misc),3.1,3.1
68,rawfile,rawfile,(misc),1.4,1.4
