index,zone,type,type,name,usage(KB),total(KB)
1,mp_skyjump,  string,string,,2.5,2.5
2,mp_skyjump,  xmodel,xmodel,com_steel_ladder,41.6,41.9
3,mp_skyjump,  xmodel,xmodel,com_steel_ladder_top,35.3,35.3
4,mp_skyjump,  xmodel,xmodel,me_dumpster,87.0,87.5
5,mp_skyjump,  xmodel,xmodel,vehicle_ch46e_damaged_rear_piece,1263.5,1264.2
6,mp_skyjump,  techset,techset,sm2/wc_l_sm_r0c0n0s0,20.9,20.9
7,mp_skyjump,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
8,mp_skyjump,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
9,mp_skyjump,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
10,mp_skyjump,  techset,techset,wc_l_sm_r0c0n0s0,32.6,32.6
11,mp_skyjump,  techset,techset,wc_l_sm_r0c0,18.2,18.2
12,mp_skyjump,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
13,mp_skyjump,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
14,mp_skyjump,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
15,mp_skyjump,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
16,mp_skyjump,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
17,mp_skyjump,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
18,mp_skyjump,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
19,mp_skyjump,  techset,techset,wc_unlit_multiply,1.8,1.8
20,mp_skyjump,  techset,techset,sm2/wc_l_sm_t0c0n0s0,12.8,12.8
21,mp_skyjump,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
22,mp_skyjump,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
23,mp_skyjump,  techset,techset,sm2/wc_l_hsm_t0c0n0,6.8,6.8
24,mp_skyjump,  techset,techset,wc_l_sm_t0c0n0s0,23.7,23.7
25,mp_skyjump,  techset,techset,wc_l_sm_t0c0,13.4,13.4
26,mp_skyjump,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
27,mp_skyjump,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
28,mp_skyjump,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
29,mp_skyjump,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
30,mp_skyjump,  techset,techset,wc_l_hsm_t0c0n0,8.2,8.2
31,mp_skyjump,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
32,mp_skyjump,  gfx_map,gfx_map,maps/mp/mp_skyjump.d3dbsp,4938.5,4940.4
33,mp_skyjump,    map_ents,map_ents,maps/mp/mp_skyjump.d3dbsp,10.8,10.8
34,mp_skyjump,  col_map_sp,col_map_sp,maps/mp/mp_skyjump.d3dbsp,344.0,354.9
35,mp_skyjump,  impactfx,impactfx,,1.5,1.5
36,mp_skyjump,  sound,sound,artillery_explosion,1.2,1.2
37,mp_skyjump,  sound,sound,elm_metal_rattle,1.2,1.2
38,mp_skyjump,  sound,sound,mortar_incoming,1.6,1.6
39,mp_skyjump,  sound,sound,generic_death_arab_4,1.1,1.1
40,mp_skyjump,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
41,mp_skyjump,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
42,mp_skyjump,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
43,mp_skyjump,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
44,mp_skyjump,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
45,mp_skyjump,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
46,mp_skyjump,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
47,mp_skyjump,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
48,mp_skyjump,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
49,mp_skyjump,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
50,mp_skyjump,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
51,mp_skyjump,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
52,mp_skyjump,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
53,mp_skyjump,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
54,mp_skyjump,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
55,mp_skyjump,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
56,mp_skyjump,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
57,mp_skyjump,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
58,mp_skyjump,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
59,mp_skyjump,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
60,mp_skyjump,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
61,mp_skyjump,assetlist,assetlist,,3.2,12677.7
62,mp_skyjump,material,material,(misc),6.4,6.4
63,mp_skyjump,techset,techset,(misc),2.9,2.9
64,mp_skyjump,image,image,(misc),3.1,3.1
65,mp_skyjump,sound,sound,(misc),35.5,35.5
66,mp_skyjump,loaded_sound,loaded_sound,(misc),2.5,2.5
67,mp_skyjump,fx,fx,(misc),3.1,3.1
68,mp_skyjump,rawfile,rawfile,(misc),1.4,1.4
