index,zone,type,type,name,usage(KB),total(KB)
1,mp_tabor,  string,string,,3.5,3.5
2,mp_tabor,  xmodel,xmodel,com_crate02,23.0,23.2
3,mp_tabor,  techset,techset,sm2/mc_l_sm_t0c0n0s0,36.1,36.1
4,mp_tabor,  techset,techset,sm2/mc_l_hsm_t0c0n0,17.7,17.7
5,mp_tabor,  techset,techset,mc_l_sm_t0c0n0s0,58.7,58.7
6,mp_tabor,  techset,techset,mc_l_sm_t0c0n0,35.1,35.1
7,mp_tabor,  techset,techset,mc_l_hsm_t0c0n0,20.3,20.3
8,mp_tabor,  techset,techset,mc_l_hsm_t0c0n0s0,21.6,21.6
9,mp_tabor,  xmodel,xmodel,vehicle_tanker_truck_civ,629.2,630.8
10,mp_tabor,  xmodel,xmodel,vehicle_uaz_van,454.3,455.2
11,mp_tabor,  xmodel,xmodel,mil_sandbag_desert_long,118.2,118.4
12,mp_tabor,  xmodel,xmodel,mil_razorwire_mid,213.3,213.5
13,mp_tabor,  xmodel,xmodel,cargocontainer_20ft_green,30.0,32.1
14,mp_tabor,  xmodel,xmodel,cargocontainer_20ft_blue,12.4,14.1
15,mp_tabor,  xmodel,xmodel,com_bomb_objective,525.0,526.0
16,mp_tabor,  xmodel,xmodel,com_plasticcase_bomb_open,136.5,136.5
17,mp_tabor,  xmodel,xmodel,com_plasticcase_green_big,327.9,328.3
18,mp_tabor,  xanim,xanim,saw_gunner_idle,6.0,6.0
19,mp_tabor,  xmodel,xmodel,me_ac_window,6.7,6.9
20,mp_tabor,  xmodel,xmodel,icbm_elevatorswitch,7.4,7.7
21,mp_tabor,  techset,techset,sm2/wc_l_sm_r0c0n0s0,19.4,19.4
22,mp_tabor,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
23,mp_tabor,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
24,mp_tabor,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
25,mp_tabor,  techset,techset,wc_l_sm_r0c0n0s0,31.6,31.6
26,mp_tabor,  techset,techset,wc_l_sm_r0c0,18.2,18.2
27,mp_tabor,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
28,mp_tabor,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
29,mp_tabor,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
30,mp_tabor,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
31,mp_tabor,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
32,mp_tabor,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
33,mp_tabor,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
34,mp_tabor,  techset,techset,sm2/wc_l_sm_t0c0,7.8,7.8
35,mp_tabor,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
36,mp_tabor,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
37,mp_tabor,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
38,mp_tabor,  techset,techset,wc_l_sm_t0c0,13.4,13.4
39,mp_tabor,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
40,mp_tabor,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
41,mp_tabor,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
42,mp_tabor,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
43,mp_tabor,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
44,mp_tabor,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
45,mp_tabor,  gfx_map,gfx_map,maps/mp/mp_tabor.d3dbsp,1274.9,1280.3
46,mp_tabor,    map_ents,map_ents,maps/mp/mp_tabor.d3dbsp,10.5,10.5
47,mp_tabor,  col_map_sp,col_map_sp,maps/mp/mp_tabor.d3dbsp,277.7,288.2
48,mp_tabor,  impactfx,impactfx,,1.5,1.5
49,mp_tabor,  sound,sound,artillery_explosion,1.2,1.2
50,mp_tabor,  sound,sound,elm_metal_rattle,1.2,1.2
51,mp_tabor,  sound,sound,mortar_incoming,1.6,1.6
52,mp_tabor,  sound,sound,generic_death_arab_4,1.1,1.1
53,mp_tabor,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
54,mp_tabor,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
55,mp_tabor,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
56,mp_tabor,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
57,mp_tabor,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
58,mp_tabor,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
59,mp_tabor,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
60,mp_tabor,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
61,mp_tabor,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
62,mp_tabor,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
63,mp_tabor,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
